"uniprot","main_gene","protein_name","V3_1","V3_2","V3_3","V3_4","V9_1","V9_2","V9_3","V9_4","V15_1","V15_2","V15_3","V15_4","V21_1","V21_2","V21_3","V21_4","I3_1","I3_2","I3_3","I3_4","I9_1","I9_2","I9_3","I9_4","I15_1","I15_2","I15_3","I15_4","I21_1","I21_2","I21_3","I21_4"
"A1A5B6","Tbc1d25","TBC1 domain family member 25",14310.9351815777,17925.3730771888,20582.2963799029,18736.273042246,18419.0210853351,15867.1084631151,15719.729659693,18168.3646269611,17086.3783268008,16641.1935930125,18249.9989672985,18332.4295258605,16749.0305398137,18325.8869463457,15027.3552596427,16752.4158038566,17615.8447737852,17214.2312541513,12837.5174733623,17933.869017122,16952.3646810635,15897.9769337391,14900.4658574048,14930.5187083468,15996.5046511831,14749.6512578319,15783.9030588941,16173.7792004587,16082.9331607178,16024.4177837213,17304.3151738429,15092.4537068768
"A2A432","Cul4b","Cullin-4B",564048.019017134,650208.859339423,641071.015427805,671025.111618244,701630.703356808,606527.657584483,651652.395739123,632790.846878404,663629.201144729,680527.221615864,615742.825726803,676667.531938493,621779.798629565,666182.960146285,718337.487026386,634595.543677109,660844.578902052,701725.089904724,512458.421085072,662002.785798937,674142.318957393,671438.453715698,649881.974011021,436207.791643615,626644.746347982,613315.428249165,602351.799256117,581863.555926233,632634.846100374,593273.149550604,627706.282781212,477423.759183809
"A2A5R2","Arfgef2","Brefeldin A-inhibited guanine nucleotide-exchange protein 2",701231.967804548,771588.440272767,727970.873122982,770805.718856658,799830.626959096,700071.210164121,710355.65477176,760949.146682227,797058.462379467,761047.280585758,830431.635998763,849615.131909002,786116.931971892,788791.811441493,780671.754204841,812420.020523041,754590.407443625,735605.858552409,777323.503851836,760953.100174072,736460.21751946,703430.537767095,753176.003205989,803973.851960786,698366.302011337,694962.983241526,782258.57220836,754663.600576355,732579.063704428,732521.069665013,810601.315601985,804268.10509975
"A2A690","Tanc2","Protein TANC2",484133.576818608,548444.338760339,515623.001481595,514973.715521284,554501.511653963,548464.338958226,486011.466899671,523148.600537687,570861.37834424,523083.375903377,539016.515519002,502163.342501049,541528.474371132,547273.910054917,344689.173673531,509567.844094634,486000.402189368,495329.948308736,346087.270886146,510530.219593079,505655.895671711,467615.512952556,484383.875948928,437900.590580987,448028.022786963,443564.878031661,447509.784173821,445518.173036377,415988.732552538,464863.392677597,460158.986212568,464013.951520104
"A2A699","Fam171a2","Protein FAM171A2",279481.064736071,295632.795406827,265350.096110975,262953.4988069,285930.311373057,272132.252121966,242832.322337162,272636.972614937,295138.555254335,306788.819254458,281338.521909483,275821.981004724,283305.399458939,263300.8262842,207818.753136158,273797.671235866,326722.433916238,304517.423117713,192755.380953297,303420.927249642,328390.740843412,299124.60614463,303928.993560583,265812.555768447,287222.792836834,300015.940322529,252422.134303602,292462.927417098,269097.071733343,280286.243480416,283085.911668872,281038.484844798
"A2A6A1","Gpatch8","G patch domain-containing protein 8",21010.1495851817,22788.4519986011,20418.1149112411,23047.1049870283,23268.1905441789,21345.2090077837,20380.9875450817,22250.941709068,20007.5874643666,19697.6832575885,23122.5958029849,20197.9273972985,18440.1488201715,22142.4645988115,21172.2371103523,18611.9962367248,20980.9080083047,18657.8181367879,17249.0585013848,18905.8891493922,17695.9374714964,19829.1838828582,19877.6849031073,21048.4642366641,22046.0153899541,17894.4643082282,19922.6619742946,16432.5562217529,17135.6852178947,18961.9998706933,18864.8691390748,20722.3476447008
"A2A6Q5","Cdc27","Cell division cycle protein 27 homolog",61930.8354560694,80016.1501055002,62674.7909466916,63796.8330369861,72766.5257968906,72653.9962581166,60077.1687694009,70414.6302076782,73294.339931069,68476.3104797626,63816.2982803781,67095.6192941966,69506.2113953269,68593.983066579,59416.8997420479,71123.9615677907,68365.6499191422,74584.3154773088,66827.2923821784,59073.2249392453,68816.9414748535,68824.7703240432,56137.6734559733,75431.1717389333,59681.9187370752,65061.24153802,65532.2829724299,65238.7759716106,53071.1656425681,68390.1554522258,68161.8281013918,74999.2386694244
"A2A7S8","Kiaa1522","Uncharacterized protein KIAA1522",10413.7341314319,10463.3166381579,10154.7106157729,9892.05763770814,11492.0030032022,11111.0540272282,6103.1257325084,8162.89236049641,12977.9595714857,5644.55039743354,10996.655948308,9718.38963961904,10540.1890642993,10376.9761714495,5821.52182757896,7947.18476994898,9926.64776542687,8114.3274182322,3841.22469345676,9756.83273795944,9019.48272934614,6622.00016482602,9905.51168019512,5838.55703468526,8075.28387907091,6222.71374042277,9085.34996215266,4355.433264563,4547.11697386349,8703.46297991901,8933.71804267589,10874.3849524036
"A2A8L1","Chd5","Chromodomain-helicase-DNA-binding protein 5",66149.7595569723,72025.8678734039,63905.499133843,79495.034806829,79304.6744573894,66817.6210367273,68419.1663116446,73493.1615289346,70279.0032981967,74957.8869089389,78970.9573955819,68143.2132454639,63478.3400104508,76530.2055789761,50586.4950326398,67406.563544751,79102.9058120175,66989.4420150878,14730.8638631474,85897.5241826623,82504.8016758753,72160.2746395808,67685.4177929753,8838.20095587255,66976.1353618627,75887.7383979251,51221.3280241267,45496.6936204267,59963.7458893502,54594.2991927071,55634.5527158383,15165.9380930879
"A2A8L5","Ptprf","Receptor-type tyrosine-protein phosphatase F",201476.749994599,244297.56822378,231413.951210739,210769.712568833,215845.460087941,217183.279209847,233387.73596041,253497.34249919,226620.667623343,277434.347234858,240957.490635671,225882.785700745,194459.371135364,220102.652827515,183131.473519244,250153.2125218,222098.801639896,219773.648007609,195557.634057549,194523.432740301,196430.257663121,248878.952473549,199976.355516621,172033.638804455,230285.135508572,214969.930688101,206871.447558526,226783.146288523,196212.527963143,206336.959894506,203014.20636489,198987.357689629
