"uniprot","main_gene","protein_name","I3_1","I3_2","I3_3","I3_4","I9_1","I9_2","I9_3","I9_4","I15_1","I15_2","I15_3","I15_4","I21_1","I21_2","I21_3","I21_4","pval","Phase","Amplitude"
"A1A5B6","Tbc1d25","TBC1 domain family member 25",17615.8447737852,17214.2312541513,12837.5174733623,17933.869017122,16952.3646810635,15897.9769337391,14900.4658574048,14930.5187083468,15996.5046511831,14749.6512578319,15783.9030588941,16173.7792004587,16082.9331607178,16024.4177837213,17304.3151738429,15092.4537068768,0.142687438305481,0.61,389.9
"A2A432","Cul4b","Cullin-4B",660844.578902052,701725.089904724,512458.421085072,662002.785798937,674142.318957393,671438.453715698,649881.974011021,436207.791643615,626644.746347982,613315.428249165,602351.799256117,581863.555926233,632634.846100374,593273.149550604,627706.282781212,477423.759183809,0.140045879596742,5.88,13893
"A2A5R2","Arfgef2","Brefeldin A-inhibited guanine nucleotide-exchange protein 2",754590.407443625,735605.858552409,777323.503851836,760953.100174072,736460.21751946,703430.537767095,753176.003205989,803973.851960786,698366.302011337,694962.983241526,782258.57220836,754663.600576355,732579.063704428,732521.069665013,810601.315601985,804268.10509975,0.179889036712624,0.91,15122
"A2A690","Tanc2","Protein TANC2",486000.402189368,495329.948308736,346087.270886146,510530.219593079,505655.895671711,467615.512952556,484383.875948928,437900.590580987,448028.022786963,443564.878031661,447509.784173821,445518.173036377,415988.732552538,464863.392677597,460158.986212568,464013.951520104,0.126994470778387,8.31,10068
"A2A699","Fam171a2","Protein FAM171A2",326722.433916238,304517.423117713,192755.380953297,303420.927249642,328390.740843412,299124.60614463,303928.993560583,265812.555768447,287222.792836834,300015.940322529,252422.134303602,292462.927417098,269097.071733343,280286.243480416,283085.911668872,281038.484844798,0.136573014526874,10.47,9060
"A2A6A1","Gpatch8","G patch domain-containing protein 8",20980.9080083047,18657.8181367879,17249.0585013848,18905.8891493922,17695.9374714964,19829.1838828582,19877.6849031073,21048.4642366641,22046.0153899541,17894.4643082282,19922.6619742946,16432.5562217529,17135.6852178947,18961.9998706933,18864.8691390748,20722.3476447008,0.290007450451567,9.93,316.7
"A2A6Q5","Cdc27","Cell division cycle protein 27 homolog",68365.6499191422,74584.3154773088,66827.2923821784,59073.2249392453,68816.9414748535,68824.7703240432,56137.6734559733,75431.1717389333,59681.9187370752,65061.24153802,65532.2829724299,65238.7759716106,53071.1656425681,68390.1554522258,68161.8281013918,74999.2386694244,0.148229518552551,4.44,1370
"A2A7S8","Kiaa1522","Uncharacterized protein KIAA1522",9926.64776542687,8114.3274182322,3841.22469345676,9756.83273795944,9019.48272934614,6622.00016482602,9905.51168019512,5838.55703468526,8075.28387907091,6222.71374042277,9085.34996215266,4355.433264563,4547.11697386349,8703.46297991901,8933.71804267589,10874.3849524036,0.205454339460582,2.7,536
"A2A8L1","Chd5","Chromodomain-helicase-DNA-binding protein 5",79102.9058120175,66989.4420150878,14730.8638631474,85897.5241826623,82504.8016758753,72160.2746395808,67685.4177929753,8838.20095587255,66976.1353618627,75887.7383979251,51221.3280241267,45496.6936204267,59963.7458893502,54594.2991927071,55634.5527158383,15165.9380930879,0.148229518552551,14.97,3961
"A2A8L5","Ptprf","Receptor-type tyrosine-protein phosphatase F",222098.801639896,219773.648007609,195557.634057549,194523.432740301,196430.257663121,248878.952473549,199976.355516621,172033.638804455,230285.135508572,214969.930688101,206871.447558526,226783.146288523,196212.527963143,206336.959894506,203014.20636489,198987.357689629,0.144056185980953,15.38,6012
