"uniprot","main_gene","protein_name","V3_1","V3_2","V3_3","V3_4","V9_1","V9_2","V9_3","V9_4","V15_1","V15_2","V15_3","V15_4","V21_1","V21_2","V21_3","V21_4","pval","Phase","Amplitude"
"A1A5B6","Tbc1d25","TBC1 domain family member 25",14310.9351815777,17925.3730771888,20582.2963799029,18736.273042246,18419.0210853351,15867.1084631151,15719.729659693,18168.3646269611,17086.3783268008,16641.1935930125,18249.9989672985,18332.4295258605,16749.0305398137,18325.8869463457,15027.3552596427,16752.4158038566,0.211125230755249,7.84,139.5
"A2A432","Cul4b","Cullin-4B",564048.019017134,650208.859339423,641071.015427805,671025.111618244,701630.703356808,606527.657584483,651652.395739123,632790.846878404,663629.201144729,680527.221615864,615742.825726803,676667.531938493,621779.798629565,666182.960146285,718337.487026386,634595.543677109,0.191827664342425,13.53,9878
"A2A690","Tanc2","Protein TANC2",484133.576818608,548444.338760339,515623.001481595,514973.715521284,554501.511653963,548464.338958226,486011.466899671,523148.600537687,570861.37834424,523083.375903377,539016.515519002,502163.342501049,541528.474371132,547273.910054917,344689.173673531,509567.844094634,0.158995409219089,11.19,19834
"A2A699","Fam171a2","Protein FAM171A2",279481.064736071,295632.795406827,265350.096110975,262953.4988069,285930.311373057,272132.252121966,242832.322337162,272636.972614937,295138.555254335,306788.819254458,281338.521909483,275821.981004724,283305.399458939,263300.8262842,207818.753136158,273797.671235866,0.0951249588703207,13.3,8149
"A2A6A1","Gpatch8","G patch domain-containing protein 8",21010.1495851817,22788.4519986011,20418.1149112411,23047.1049870283,23268.1905441789,21345.2090077837,20380.9875450817,22250.941709068,20007.5874643666,19697.6832575885,23122.5958029849,20197.9273972985,18440.1488201715,22142.4645988115,21172.2371103523,18611.9962367248,0.0837529367618973,7.45,616
"A2A6Q5","Cdc27","Cell division cycle protein 27 homolog",61930.8354560694,80016.1501055002,62674.7909466916,63796.8330369861,72766.5257968906,72653.9962581166,60077.1687694009,70414.6302076782,73294.339931069,68476.3104797626,63816.2982803781,67095.6192941966,69506.2113953269,68593.983066579,59416.8997420479,71123.9615677907,0.191827664342425,11.8,996
"A2A7S8","Kiaa1522","Uncharacterized protein KIAA1522",10413.7341314319,10463.3166381579,10154.7106157729,9892.05763770814,11492.0030032022,11111.0540272282,6103.1257325084,8162.89236049641,12977.9595714857,5644.55039743354,10996.655948308,9718.38963961904,10540.1890642993,10376.9761714495,5821.52182757896,7947.18476994898,0.257392027246985,5.35,235.7
"A2A8L1","Chd5","Chromodomain-helicase-DNA-binding protein 5",66149.7595569723,72025.8678734039,63905.499133843,79495.034806829,79304.6744573894,66817.6210367273,68419.1663116446,73493.1615289346,70279.0032981967,74957.8869089389,78970.9573955819,68143.2132454639,63478.3400104508,76530.2055789761,50586.4950326398,67406.563544751,0.103064156649108,11.13,3337
"A2A8L5","Ptprf","Receptor-type tyrosine-protein phosphatase F",201476.749994599,244297.56822378,231413.951210739,210769.712568833,215845.460087941,217183.279209847,233387.73596041,253497.34249919,226620.667623343,277434.347234858,240957.490635671,225882.785700745,194459.371135364,220102.652827515,183131.473519244,250153.2125218,0.0886980335892281,12.72,12206
"A2A8U2","Tmem201","Transmembrane protein 201",83487.37542506,113807.258992841,98207.0363965854,121873.99415366,99568.490024691,110091.813211822,107367.411527365,117444.362031241,106194.585715336,107796.339995908,117965.122122617,131483.277617791,114487.127143598,120632.381598621,192391.830724623,105482.081761988,0.111568025456355,19.28,9009
