"uniprot","main_gene","protein_name","V3_1","V3_2","V3_3","V3_4","V9_1","V9_2","V9_3","V9_4","V15_1","V15_2","V15_3","V15_4","V21_1","V21_2","V21_3","V21_4","pval","Phase","Amplitude"
"A2A5R2","Arfgef2","Brefeldin A-inhibited guanine nucleotide-exchange protein 2",701231.967804548,771588.440272767,727970.873122982,770805.718856658,799830.626959096,700071.210164121,710355.65477176,760949.146682227,797058.462379467,761047.280585758,830431.635998763,849615.131909002,786116.931971892,788791.811441493,780671.754204841,812420.020523041,0.0492010126826746,17.68,30521
"A2AG50","Map7d2","MAP7 domain-containing protein 2",207624.498015645,267896.874247175,262792.107031908,254460.554088077,276492.541439335,268872.484965545,285350.161849459,273122.892540046,313229.125117142,287928.463018321,266916.642016442,303901.535106222,288080.202249351,272657.148029704,311504.407521865,313470.437484383,0.0442516556408812,16.63,15821
"A2AP18","Plch2","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2",174277.966516841,182684.897321397,191863.451002304,204529.141917563,194048.078603065,187510.363722098,192790.269189111,210051.262857388,175336.265080588,208522.574526069,206482.64744741,181993.868688747,167520.130634595,176927.306555317,147298.348614098,171182.759193547,0.0480399833261929,10.41,12292
"A2ASQ1","Agrn","Agrin;Agrin N-terminal 110 kDa subunit;Agrin C-terminal 110 kDa subunit;Agrin C-terminal 90 kDa fragment;Agrin C-terminal 22 kDa fragment",411306.286692861,483828.258736099,460084.263670503,465436.648165509,475257.897655395,476699.863276303,447531.414502602,449652.266248546,476922.577292501,467769.97162922,472098.813330749,489599.740520052,477845.724728167,483975.504075308,514226.45267189,489993.567119814,0.0480399833261929,20.4,11350
"B1AR13","Cisd3","CDGSH iron-sulfur domain-containing protein 3, mitochondrial",61083.2491378065,83262.560290953,72340.3204909469,85759.2067668347,83088.6957816728,70997.2602176368,72757.8190687434,71675.7624057552,89809.4812054647,98905.2726774472,97895.8693827004,97937.6386975842,88413.3360094083,91251.5458902593,110365.886527503,94208.0109222324,0.0402483458105069,18.34,9304
"B7ZMP1","Xpnpep3","Probable Xaa-Pro aminopeptidase 3",62227.4975790223,59780.494765174,68903.6166200638,67577.9102608238,62145.4567771734,64451.4297140807,52535.3790360661,67974.3696804329,70128.8831438965,71913.5141463831,65095.7191751953,69868.5149973175,60088.1695515742,60856.162221942,57136.5837750473,58925.5048233503,0.0492010126826746,14.4,2529
"B9EKI3","Tmf1","TATA element modulatory factor",39807.9674600097,41994.1140299177,41234.0289688341,40785.8961739996,44209.3907622978,38638.982861661,42349.5325564966,42109.0904076673,47384.5346070327,43693.1396035933,44456.2721950491,42887.3346135978,44867.5825794536,49546.3008867103,45809.5607772223,50184.0061562058,0.0402483458105069,18.99,2138
"E9Q5C9","Nolc1","",67639.4710846318,81147.9529903674,78867.5417657181,87589.1031029594,88324.8118055048,76008.8866939623,81791.1606062843,80193.100698871,88323.0343533464,90499.6461123103,92370.5620070638,91459.9029246498,81484.9134959541,83753.4219169516,88990.4699908231,81684.7742286236,0.0456322718001179,15.76,5057
"O08550","Kmt2b","Histone-lysine N-methyltransferase 2B",1403.8472569125,2679.34091551787,1656.91201920921,2333.09163023539,2016.79589865787,2003.89859962612,3371.59510495038,3172.42931882659,3342.19411046717,2944.90160120793,3944.65171757321,3247.71371479835,2521.5962343767,2923.30973112503,2866.93344935026,2247.65517585685,0.0492010126826746,15.13,561
"O09044","Snap23","Synaptosomal-associated protein 23",194142.034013315,220405.287860144,182216.850208857,198619.790456122,195837.560482197,195279.253573016,191298.534056201,180938.457255959,213825.915268383,199543.798424165,202404.207103433,201175.592713136,203998.020191772,224842.770829139,257872.871769607,208625.993630913,0.0402483458105069,21.09,11963
"O35143","Atpif1","ATPase inhibitor, mitochondrial",46289.5448947948,55811.9324548572,60518.2462654114,64478.8413041936,79821.3051509095,49419.7091423641,51037.0389284674,52006.1124963748,104815.901608624,84293.088462258,80240.4676990768,119646.462207845,77174.3978958792,76820.1237250072,50443.2968497719,69964.7501634004,0.0456322718001179,16.48,21737
"O35345","Kpna6","Importin subunit alpha-7",55019.440052149,67860.6034183128,62085.7477149957,56820.0301135165,61674.6538016144,60136.5339687593,60549.3957024065,58646.5295148326,68062.24905305,66847.0942526075,71473.2510212798,72215.78170802,61895.6589112534,66438.0228370908,78011.8906757108,70340.0132720002,0.0480399833261929,18.13,4161
"O35449","Prrt1","Proline-rich transmembrane protein 1",57282.3881695919,58633.4485443901,73440.8287497431,67910.7812337963,80979.8137271237,78446.3901049047,72693.8731631341,70562.6332877191,70030.8081163645,74997.7053134445,65852.1027624283,61541.0583041445,63692.6035809673,58039.8972778128,53669.8615891103,61876.8702756016,0.0456322718001179,10.5,7282
"O35643","Ap1b1","AP-1 complex subunit beta-1",2414900.45966905,2652449.17555991,2729332.26815885,2623846.0384386,2594725.61037277,2619403.94432642,2545138.99631013,2619890.22142099,2608884.21796004,2412148.90753775,2560149.93032946,2583116.56018754,2654905.70493654,2611376.19957981,2669233.94563036,2797002.06826432,0.0480399833261929,0.25,47982
"O35684","Serpini1","Neuroserpin",329702.179640806,334104.135700214,324381.862035935,352009.70183523,364393.352990943,348919.598929078,355430.723492606,356091.679712058,322682.000219951,321840.138599978,365294.012474109,342281.756020324,313245.393338805,344806.844929389,252398.554095384,321537.122554771,0.0480399833261929,10.01,19166
"O35874","Slc1a4","Neutral amino acid transporter A",209373.081024249,229074.724080762,208771.15644739,232598.994082625,249270.528336777,243058.328315139,254681.639925079,228334.370408479,265741.578562507,287382.30854767,248922.899814807,272806.534039169,213529.152342538,237777.912089094,237681.964078101,278389.108698642,0.0456322718001179,14.79,20465
"O35973","Per1","Period circadian protein homolog 1",3616.88512732508,2922.85069091756,2884.48241082024,3159.40373077592,2686.28413436443,1754.60012881516,1696.63731406807,1914.09320156441,2464.9251699783,2175.22688703385,2164.32810301936,2605.79911868765,2983.93109322191,3252.15022522909,3934.66016938197,2708.79057033991,0.0402483458105069,23.16,646
"O54824","Il16","Pro-interleukin-16;Interleukin-16",2768.56329694723,2902.16015907557,2607.076500487,2905.6729450295,3296.36270041797,3092.58815736945,3023.99188862719,2991.45832476117,3398.53875181211,3314.22338137824,4193.38907379852,3399.85741593542,3126.72038648964,3070.15759359308,3014.70493832161,3344.87288463181,0.0402483458105069,14.58,325.9
"O54865","Gucy1b3","Guanylate cyclase soluble subunit beta-1",1216124.1543212,1370959.86521166,1256761.19486142,1290265.09116385,1177700.80835744,1282232.2022391,1168547.69310518,1262550.11274485,1254076.09008019,1160137.32172998,1292947.46800827,1209252.66984711,1121158.93006714,1147665.76607149,928005.538098439,1208960.08602213,0.0492010126826746,7.93,47809
"O55229","Chkb","Choline/ethanolamine kinase",126278.670411545,153080.835302213,148282.955452708,141870.190355115,157236.766579299,151315.868911198,139914.437137543,156716.334710388,175625.260183818,161167.609761804,163909.675020586,157570.551783879,154732.434493934,155852.19479335,167171.443593318,167569.808305734,0.0442516556408812,16.59,7710
"O70325","Gpx4","Phospholipid hydroperoxide glutathione peroxidase, mitochondrial",656606.957232144,740756.117770485,715745.795253136,740828.829894988,750518.760030231,771126.956124267,739631.254415411,758199.538904028,758292.51274362,769914.707525982,760523.643934868,808033.379153033,741297.857992004,800556.946140345,1009189.24667505,786512.443883418,0.0442516556408812,18.45,34627
"O70456","Sfn","14-3-3 protein sigma",192906.184485306,246275.682244446,209147.635137738,277487.154685696,289261.213343873,247735.747382339,626967.640893896,244821.150585378,435908.974701577,422334.454676912,413868.348990982,405626.246669666,383030.99691655,307430.767150573,241042.004626453,280437.086745646,0.0456322718001179,14.52,83648
"O88196","Ttc3","E3 ubiquitin-protein ligase TTC3",138875.416360577,165339.004827171,150112.65429376,156180.524510074,167521.063476604,172688.412955185,176829.59561085,184082.064910983,158555.226360259,162832.340497858,155646.795006237,158481.616583718,136989.735858276,153021.446113925,132103.702207258,183024.923028604,0.0480399833261929,10.5,11272
"O88520","Shoc2","Leucine-rich repeat protein SHOC-2",153018.249911929,162085.454951878,159996.517028428,152682.832842106,160067.423472028,156230.496540018,158664.491122035,164660.535154584,159262.927839654,149511.320736298,154254.239553264,138257.420104854,140461.489270078,147684.860349582,118275.202999311,157712.876461153,0.0492010126826746,8.44,6472
"O88703","Hcn2","Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2",311715.057606638,400379.008475091,386033.082271678,336156.789060748,352509.082607519,414692.2646475,424920.879342272,417914.116306291,424861.689058972,392199.644693281,355446.230340815,411900.87415603,463020.710420249,413832.621247079,612582.050829603,498191.16670958,0.0492010126826746,19.69,36510
"O88983","Stx8","Syntaxin-8",89019.4462619399,99480.5756692767,99847.4462314681,89561.5881425255,106947.257119699,95697.2772514259,95487.2266760217,102037.57442287,104061.44671555,106352.120008663,106216.201403547,101992.020975667,101794.41380789,93615.9280128347,94533.0052962832,101850.098336553,0.0456322718001179,14.31,4490
