Experiment ID,26163.0,
Experiment name,Brain proteomics vehicle vs ink ,
Job,e71d6748-348c-41be-8ffc-18850a76fbf3,
Method,BD2 eJTK,
Submitted,2023-08-10T17:28:22.521658773,Finished,2023-08-10T17:28:23.529886636,
NULL_SIZE,100000,
DW_END,0.0,
PERIOD_MIN,24.0,
DATA_SET_ID,26163_NO_DTR,
PERIOD_MAX,24.0,
DW_START,0.0,
PRESET,EJTK_CLASSIC,
METHOD,BD2EJTK,
DATA_SET_TYPE_NAME,no dtr,
PARAMS_SUMMARY,no dtr min-max p(24.0),
DATA_SET_TYPE,NO_DTR,


Individual Results,

Data Id,Data Label,,tau,emp p,emp p BH Corrected,Pattern Shape,Pattern Period,Pattern Peak,P. Trough,P. Circ. Peak,P. Circ. Trough,P. Width,P. Asym,,JTK p from tau,JTK p BH Corrected,bf corrected JTK p,BH bf corrected p,
1,A1A5B6,,0.16770509831248434,0.8437615623843762,0.9699376133111797,ACOS,24.0,2.0,2.0,2.0,2.0,24.0,0.0,,0.1824518756760124,0.21112523075524892,14.231246302728968,1.0,
2,A2A432,,0.18633899812498259,0.8125118748812512,0.9699376133111797,ACOS,24.0,20.0,4.0,20.0,4.0,24.0,0.67,,0.15703129585716225,0.19182766434242474,12.248441076858654,1.0,
3,A2A5R2,,0.5403830945624495,0.031269687303126965,0.8777360261331884,ACOS,24.0,14.0,10.0,14.0,10.0,24.0,0.17,,0.0017528052122483628,0.04920101268267457,0.1367188065553723,1.0,
4,A2A690,,0.2236067977499791,0.6875131248687513,0.9630277547736616,ACOS,24.0,14.0,20.0,14.0,20.0,24.0,0.75,,0.11350807917025535,0.15899540921908942,8.853630175279918,1.0,
5,A2A699,,0.3354101966249687,0.34376656233437664,0.8885383169758424,ACOS,24.0,14.0,20.0,14.0,20.0,24.0,0.75,,0.03498372787327912,0.09512495887032071,2.7287307741157716,1.0,
6,A2A6A1,,0.37267799624996517,0.25001749982500177,0.8885383169758424,COS,24.0,8.0,20.0,8.0,20.0,24.0,0.5,,0.02203270318362918,0.08375293676189731,1.718550848323076,1.0,
7,A2A6Q5,,0.18633899812498259,0.8125118748812512,0.9699376133111797,ACOS,24.0,4.0,4.0,4.0,4.0,24.0,0.0,,0.15703129585716225,0.19182766434242474,12.248441076858654,1.0,
8,A2A7S8,,0.13043729868748782,0.9062609373906261,0.9699376133111797,ACOS,24.0,14.0,16.0,14.0,16.0,24.0,0.92,,0.24049416858204564,0.25739202724698457,18.75854514939956,1.0,
9,A2A8L1,,0.3167762968124704,0.37501624983750165,0.8885383169758424,ACOS,24.0,14.0,20.0,14.0,20.0,24.0,0.75,,0.04349923101882863,0.10306415664910816,3.392940019468633,1.0,
10,A2A8L5,,0.3540440964374669,0.3125168748312517,0.8885383169758424,ACOS,24.0,14.0,20.0,14.0,20.0,24.0,0.75,,0.027887169552556004,0.08869803358922809,2.175199225099368,1.0,
11,A2A8U2,,0.29814239699997214,0.43751562484375156,0.910440413239118,ACOS,24.0,20.0,4.0,20.0,4.0,24.0,0.67,,0.05361444160464873,0.11156802545635547,4.181926445162601,1.0,
12,A2A8Z1,,0.14907119849998607,0.8750112498875011,0.9699376133111797,ACOS,24.0,20.0,4.0,20.0,4.0,24.0,0.67,,0.21029812498078254,0.23371306144129841,16.403253748501037,1.0,
13,A2A9T0,,0.3167762968124704,0.37501624983750165,0.8885383169758424,ACOS,24.0,10.0,2.0,10.0,2.0,24.0,0.33,,0.04349923101882863,0.10306415664910816,3.392940019468633,1.0,
14,A2AAE1,,0.2236067977499791,0.6875131248687513,0.9630277547736616,ACOS,24.0,16.0,8.0,16.0,8.0,24.0,0.33,,0.11350807917025535,0.15899540921908942,8.853630175279918,1.0,
15,A2AAX3,,0.3167762968124704,0.37501624983750165,0.8885383169758424,ACOS,24.0,4.0,20.0,4.0,20.0,24.0,0.33,,0.04349923101882863,0.10306415664910816,3.392940019468633,1.0,
16,A2AAY5,,0.2236067977499791,0.6875131248687513,0.9630277547736616,ACOS,24.0,2.0,2.0,2.0,2.0,24.0,0.0,,0.11350807917025535,0.15899540921908942,8.853630175279918,1.0,
17,A2ADY9,,0.2236067977499791,0.6875131248687513,0.9630277547736616,ACOS,24.0,16.0,16.0,16.0,16.0,24.0,0.0,,0.11350807917025535,0.15899540921908942,8.853630175279918,1.0,
18,A2AF47,,0.11180339887498955,0.937510624893751,0.9782984248079596,ACOS,24.0,20.0,0.0,20.0,0.0,24.0,0.83,,0.2729083801775865,0.2847816668476503,21.286853653851747,1.0,
19,A2AFR3,,0.3540440964374669,0.3125168748312517,0.8885383169758424,ACOS,24.0,16.0,8.0,16.0,8.0,24.0,0.33,,0.027887169552556004,0.08869803358922809,2.175199225099368,1.0,
20,A2AFS3,,0.20497289793748086,0.7500124998750013,0.9699376133111797,ACOS,24.0,14.0,20.0,14.0,20.0,24.0,0.75,,0.13405890065957154,0.17500621718922132,10.45659425144658,1.0,
21,A2AG50,,0.6335525936249408,0.005879941200587994,0.7915977533138054,ACOS,24.0,20.0,4.0,20.0,4.0,24.0,0.67,,3.0978912629739484E-4,0.0442516556408812,0.0241635518511968,1.0,
22,A2AGL3,,0.3540440964374669,0.3125168748312517,0.8885383169758424,COS,24.0,8.0,20.0,8.0,20.0,24.0,0.5,,0.027887169552556004,0.08869803358922809,2.175199225099368,1.0,
23,A2AGT5,,0.2236067977499791,0.6875131248687513,0.9630277547736616,ACOS,24.0,10.0,6.0,10.0,6.0,24.0,0.17,,0.11350807917025535,0.15899540921908942,8.853630175279918,1.0,
24,A2AHC3,,0.29814239699997214,0.43751562484375156,0.910440413239118,ACOS,24.0,14.0,20.0,14.0,20.0,24.0,0.75,,0.05361444160464873,0.11156802545635547,4.181926445162601,1.0,
25,A2AHG0,,0.2236067977499791,0.6875131248687513,0.9630277547736616,ACOS,24.0,2.0,10.0,2.0,10.0,24.0,0.67,,0.11350807917025535,0.15899540921908942,8.853630175279918,1.0,
26,A2AHL1,,0.20497289793748086,0.7500124998750013,0.9699376133111797,ACOS,24.0,14.0,20.0,14.0,20.0,24.0,0.75,,0.13405890065957154,0.17500621718922132,10.45659425144658,1.0,
27,A2AI08,,0.14907119849998607,0.8750112498875011,0.9699376133111797,ACOS,24.0,20.0,4.0,20.0,4.0,24.0,0.67,,0.21029812498078254,0.23371306144129841,16.403253748501037,1.0,
28,A2AIG8,,0.16770509831248434,0.8437615623843762,0.9699376133111797,ACOS,24.0,14.0,14.0,14.0,14.0,24.0,0.0,,0.1824518756760124,0.21112523075524892,14.231246302728968,1.0,
29,A2AIV2,,0.3913118960624634,0.21876781232187678,0.8885383169758424,COS,24.0,20.0,8.0,20.0,8.0,24.0,0.5,,0.017251591034782986,0.07727751022410106,1.345624100713073,1.0,
30,A2AJ15,,0.29814239699997214,0.43751562484375156,0.910440413239118,COS,24.0,14.0,2.0,14.0,2.0,24.0,0.5,,0.05361444160464873,0.11156802545635547,4.181926445162601,1.0,
31,A2AJ88,,0.20497289793748086,0.7500124998750013,0.9699376133111797,ACOS,24.0,14.0,10.0,14.0,10.0,24.0,0.17,,0.13405890065957154,0.17500621718922132,10.45659425144658,1.0,
32,A2AJA9,,0.4099457958749617,0.18751812481875182,0.8885383169758424,ACOS,24.0,8.0,18.0,8.0,18.0,24.0,0.58,,0.013386385243419103,0.07176620879457715,1.04413804898669,1.0,
33,A2AJI0,,0.4472135954999582,0.12501874981250188,0.8885383169758424,ACOS,24.0,14.0,20.0,14.0,20.0,24.0,0.75,,0.007842546279573382,0.0638933935172341,0.6117186098067239,1.0,
34,A2AJL3,,0.503115294937453,0.06251937480625194,0.8885383169758424,ACOS,24.0,14.0,10.0,14.0,10.0,24.0,0.17,,0.0032820864904672107,0.052480726270455795,0.2560027462564424,1.0,
35,A2AJT4,,0.13043729868748782,0.9062609373906261,0.9699376133111797,ACOS,24.0,14.0,4.0,14.0,4.0,24.0,0.42,,0.24049416858204564,0.25739202724698457,18.75854514939956,1.0,
36,A2AKG8,,0.16770509831248434,0.8437615623843762,0.9699376133111797,ACOS,24.0,2.0,2.0,2.0,2.0,24.0,0.0,,0.1824518756760124,0.21112523075524892,14.231246302728968,1.0,
37,A2ALI5,,0.18633899812498259,0.8125118748812512,0.9699376133111797,ACOS,24.0,16.0,16.0,16.0,16.0,24.0,0.0,,0.15703129585716225,0.19182766434242474,12.248441076858654,1.0,
38,A2ALK8,,0.20497289793748086,0.7500124998750013,0.9699376133111797,COS,24.0,20.0,8.0,20.0,8.0,24.0,0.5,,0.13405890065957154,0.17500621718922132,10.45659425144658,1.0,
39,A2ALS5,,0.16770509831248434,0.8437615623843762,0.9699376133111797,ACOS,24.0,2.0,10.0,2.0,10.0,24.0,0.67,,0.1824518756760124,0.21112523075524892,14.231246302728968,1.0,
40,A2ALU4,,0.2795084971874739,0.5000149998500015,0.925186073412726,ACOS,24.0,12.0,22.0,12.0,22.0,24.0,0.58,,0.06550881647134288,0.12121205304484514,5.1096876847647446,1.0,
41,A2AN08,,0.20497289793748086,0.7500124998750013,0.9699376133111797,ACOS,24.0,10.0,0.0,10.0,0.0,24.0,0.42,,0.13405890065957154,0.17500621718922132,10.45659425144658,1.0,
42,A2ANU3,,0.29814239699997214,0.43751562484375156,0.910440413239118,COS,24.0,22.0,10.0,22.0,10.0,24.0,0.5,,0.05361444160464873,0.11156802545635547,4.181926445162601,1.0,
43,A2AP18,,0.5590169943749478,0.023459765402345976,0.8777360261331884,COS,24.0,10.0,22.0,10.0,22.0,24.0,0.5,,0.0012630300532244254,0.048039983326192935,0.09851634415150518,1.0,
44,A2APT9,,0.503115294937453,0.06251937480625194,0.8885383169758424,ACOS,24.0,22.0,22.0,22.0,22.0,24.0,0.0,,0.0032820864904672107,0.052480726270455795,0.2560027462564424,1.0,
45,A2APV2,,0.29814239699997214,0.43751562484375156,0.910440413239118,ACOS,24.0,14.0,14.0,14.0,14.0,24.0,0.0,,0.05361444160464873,0.11156802545635547,4.181926445162601,1.0,
46,A2APX8,,0.3913118960624634,0.21876781232187678,0.8885383169758424,COS,24.0,20.0,8.0,20.0,8.0,24.0,0.5,,0.017251591034782986,0.07727751022410106,1.345624100713073,1.0,
47,A2APY7,,0.14907119849998607,0.8750112498875011,0.9699376133111797,ACOS,24.0,4.0,4.0,4.0,4.0,24.0,0.0,,0.21029812498078254,0.23371306144129841,16.403253748501037,1.0,
48,A2AQ19,,0.11180339887498955,0.937510624893751,0.9782984248079596,ACOS,24.0,14.0,20.0,14.0,20.0,24.0,0.75,,0.2729083801775865,0.2847816668476503,21.286853653851747,1.0,
