"uniprot","main_gene","protein_name","V24_1","V24_2","V24_3","V24_4","I24_1","I24_2","I24_3","I24_4","V36_1","V36_2","V36_3","V36_4","I36_1","I36_2","I36_3","I36_4","veh_pval","INK_pval"
"A1A5B6","Tbc1d25","TBC1 domain family member 25",15245.48241575,16096.9844545541,25162.1404566423,15740.79516806,15132.6907530711,16036.9232844415,13972.8710899954,16655.138862144,17895.1243763704,14431.3290099562,20018.9546611709,17992.7907148344,11470.272965509,11132.0600086222,14083.3124845257,12765.3453826031,0.95,0.15
"A1Z198","Nlrp1b","",8204.97188551621,10678.8342965346,8686.89971300993,15645.1448419986,10410.8206627462,41865.5261456369,11633.933972757,19726.4178156384,27317.3964555687,35529.8975664938,27708.1092566761,32929.1452653219,29857.8672779874,41055.7886923056,24735.3238512901,30181.8427263035,0,0
"A2A432","Cul4b","Cullin-4B",2421459.65758925,2661835.27315845,2814911.90180313,4081381.36580689,2349492.79191511,2427019.47699943,2866608.27392887,3960333.38740071,2469450.44314865,2399451.48589164,2743753.15236573,4165241.64653336,2431456.60054475,2470342.31625649,2743679.26678132,4007820.39094701,0.92,1
"A2A4P0","Dhx8","ATP-dependent RNA helicase DHX8",139350.31900843,167614.745682734,159707.075383001,204655.603308645,133006.856648264,200270.783279586,140457.730261171,186589.950940519,168756.968730434,217934.315928308,187220.803337897,213970.180724243,179666.927203957,216084.510749929,178781.681254783,175636.390707072,0.24,0.68
"A2A5R2","Arfgef2","Brefeldin A-inhibited guanine nucleotide-exchange protein 2",1158809.93266307,628190.486291245,805374.410077155,600647.953202674,1134528.25802998,600057.612551375,875777.901671699,669508.15481234,1150524.15403706,634146.609709854,790124.956236975,724830.250392234,1169990.13043066,622089.389601962,976423.028391506,857497.048815481,0.89,0.9
"A2A5Z6","Smurf2","E3 ubiquitin-protein ligase SMURF2",47748.103739432,33833.7590284479,39298.355604429,41888.5262839092,50513.5260804953,44611.6087374235,42202.4100927457,54412.0822582109,51936.1391064693,34846.5198696436,43322.817940745,50477.8636091229,52868.1271016608,47897.8238072876,54507.3075575797,57474.387215358,0.62,0.9
"A2A690","Tanc2","Protein TANC2",64828.0252897194,45554.6721137434,36884.3002094671,19354.7532423595,37680.6401966561,29280.4892239305,25269.1996680935,20575.0606843672,71374.3103811023,51309.1131982088,36610.5913707707,31070.329057368,31043.4865945617,24162.2502975415,28929.1363285538,20974.5208377209,0.21,1
"A2A699","Fam171a2","Protein FAM171A2",87812.6376103921,81559.9782383908,131630.046034917,119896.781356348,122777.213329432,93413.2534922756,162241.523078493,136694.209466462,93453.5948675533,78088.0024906305,137795.270773136,133143.114430182,124761.13402713,82498.8961458593,142303.682467154,151671.000102621,0.89,1
"A2A6A1","Gpatch8","G patch domain-containing protein 8",216406.341975626,237650.025038144,260509.302032353,291760.565334146,266822.880485263,293460.10373055,286053.311258539,292579.731885522,229634.915965804,227311.275202016,256317.8117909,284442.108100844,262485.372404918,303665.064823389,260697.187304194,301681.168439413,0.95,1
"A2A6Q5","Cdc27","Cell division cycle protein 27 homolog",440801.834020203,319853.882654717,316473.651070763,405927.350742478,265963.140347233,334531.082270349,239196.459696499,296606.953380803,424889.327703693,349925.477568457,313196.099458108,387659.460536167,278576.812655158,339516.649005436,226887.978274824,269274.360182192,0.96,1
"A2A6T1","Cdr2l","Cerebellar degeneration-related protein 2-like",362098.168592744,240139.801891038,184246.01961391,187745.34755025,300340.102631133,167958.074799971,117918.881676874,111901.017478906,373659.019869518,245835.486960575,178809.158725454,154943.923972728,292706.796291044,147118.514232069,113990.001735913,113556.969959186,0.89,1
"A2A791","Zmym4","Zinc finger MYM-type protein 4",53897.0670838681,73032.0803025184,72761.2421362429,67970.3850053955,54855.2137775498,91804.2531213707,69347.0988555896,56431.2670148413,67248.6498737526,93539.8859482239,90953.9929075923,69362.7289100155,72087.9032514812,100273.517634918,73081.267298604,66677.591339232,0.18,0.64
"A2A7S8","Kiaa1522","Uncharacterized protein KIAA1522",107614.043015103,130037.252651309,81207.1160995988,98456.6705335373,132260.905646149,156562.371142119,88506.4219725299,94812.4994177892,134712.117960812,140892.299708367,85111.4126654959,111813.88616661,133091.702628729,173533.117048832,86855.4903570456,112913.226076398,0.49,1
