uniprot,Mean Diff.,Discovery?,q value,Individual P Value
A1A5B6,0.3247,No,0.15,0.01
A1Z198,-0.7984,Yes,0.00,0.00
A2A432,-0.00724,No,1.00,0.95
A2A4P0,-0.2011,No,0.68,0.11
A2A5R2,-0.1526,No,0.90,0.23
A2A5Z6,-0.1541,No,0.90,0.22
A2A690,0.08346,No,1.00,0.51
A2A699,0.04883,No,1.00,0.70
A2A6A1,0.01601,No,1.00,0.90
A2A6Q5,0.03188,No,1.00,0.80
A2A6T1,0.06399,No,1.00,0.61
A2A791,-0.2095,No,0.64,0.10
A2A7S8,-0.0956,No,1.00,0.45
A2A863,-0.1492,No,0.92,0.24
A2A884,-0.2737,No,0.32,0.03
A2A8L1,-0.03719,No,1.00,0.77
A2A8L5,-0.1961,No,0.71,0.12
A2A8U2,-0.292,No,0.26,0.02
A2A8Z1,-0.03794,No,1.00,0.76
A2A9A2,0.05429,No,1.00,0.67
A2A9C3,-0.08962,No,1.00,0.48
A2AAE1,-0.3547,No,0.09,0.01
A2AAY5,-0.2197,No,0.58,0.08
A2ABV5,-0.07889,No,1.00,0.53
A2ACJ2,0.05598,No,1.00,0.66
A2ADA5,-0.06396,No,1.00,0.61
A2ADY9,0.04841,No,1.00,0.70
A2AF47,0.08836,No,1.00,0.49
Q8R3R5,-0.249,No,0.43,0.05
A2AG58,-0.1043,No,1.00,0.41
A2AGH6,-0.1449,No,0.94,0.25
A2AGT5,-0.1013,No,1.00,0.42
A2AH22,-0.08334,No,1.00,0.51
A2AHC3,-0.3042,No,0.21,0.02
A2AI05,0.00789,No,1.00,0.95
A2AI08,0.08904,No,1.00,0.48
A2AIL4,-0.12,No,1.00,0.34
A2AIV2,-0.0143,No,1.00,0.91
A2AIW0,-0.03078,No,1.00,0.81
A2AJ15,0.0862,No,1.00,0.50
A2AJ88,0.01703,No,1.00,0.89
A2AJI0,-0.4406,Yes,0.01,0.00
A2AJL3,-0.1924,No,0.73,0.13
A2AJT4,0.127,No,1.00,0.32
A2AKG8,0.0573,No,1.00,0.65
A2AKX3,-0.2851,No,0.29,0.02
A2ALU4,-0.04906,No,1.00,0.70
A2ALW5,-0.07604,No,1.00,0.55
A2AM05,-0.4443,Yes,0.01,0.00
A2AM29,-0.1495,No,0.92,0.24
A2AN08,-0.02956,No,1.00,0.82
A2APB8,0.06312,No,1.00,0.62
A2APV2,-0.06075,No,1.00,0.63
A2APY7,0.1633,No,0.86,0.20
A2AQ19,0.04158,No,1.00,0.74
A2AQ25,0.04194,No,1.00,0.74
A2AR02,0.1239,No,1.00,0.33
A2AR95,-0.03304,No,1.00,0.79
A2ARP1,0.03742,No,1.00,0.77
A2ARV4,-0.238,No,0.48,0.06
A2AS55,-0.008493,No,1.00,0.95
A2ASA8,0.05724,No,1.00,0.65
A2ASQ1,-0.3114,No,0.19,0.01
A2ASS6,-0.1654,No,0.86,0.19
A2ASZ8,-0.09607,No,1.00,0.45
A2AT37,-0.1153,No,1.00,0.36
A2ATU0,-0.2005,No,0.68,0.11
A2AUU0,-0.04873,No,1.00,0.70
A2AVA0,-0.2875,No,0.28,0.02
A2AVZ9,-0.09623,No,1.00,0.45
A2AWA9,-0.06992,No,1.00,0.58
A2AWL7,-0.6761,Yes,0.00,0.00
A2AWT3,-0.2066,No,0.65,0.10
A2BDX3,0.08173,No,1.00,0.52
A2BE28,-0.007292,No,1.00,0.95
A2BH40,-0.08969,No,1.00,0.48
A2CE44,-0.4478,Yes,0.01,0.00
A2CG49,0.1172,No,1.00,0.35
A2CG63,-0.001506,No,1.00,0.99
A2RSJ4,-0.1023,No,1.00,0.42
A2RSQ0,0.04042,No,1.00,0.75
A2RSX7,-0.04933,No,1.00,0.70
A2RSY1,0.1348,No,0.97,0.29
A2RSY6,0.00339,No,1.00,0.98
A2RT67,0.1239,No,1.00,0.33
A2RTL5,0.1587,No,0.88,0.21
A3KFM7,-1.247,Yes,0.00,0.00
A3KGB4,0.1377,No,0.96,0.28
A3KGF9,-0.5899,Yes,0.00,0.00
A3KGS3,-0.07056,No,1.00,0.58
A3KGV1,-0.2023,No,0.68,0.11
A3KGW5,-0.2066,No,0.65,0.10
A3KMP2,-0.03266,No,1.00,0.80
A6H5Y3,0.01574,No,1.00,0.90
A6H5Z3,-0.03837,No,1.00,0.76
A6H611,-0.009879,No,1.00,0.94
A6H619,-0.156,No,0.89,0.22
A6H630,0.04518,No,1.00,0.72
A6H687,-0.03783,No,1.00,0.77
A6H6A9,0.04484,No,1.00,0.72
A6H8H2,0.05358,No,1.00,0.67
A6X8Z5,-0.1822,No,0.78,0.15
A6X919,-0.1906,No,0.75,0.13
A8C756,0.05749,No,1.00,0.65
A8Y5H7,0.02051,No,1.00,0.87
B0F2B4,-0.06801,No,1.00,0.59
B0V2N1,-0.2509,No,0.42,0.05
B1AQJ2,0.1985,No,0.70,0.12
B1AR13,-0.06175,No,1.00,0.63
B1ARD6,0.1682,No,0.85,0.18
B1ARW8,-0.05179,No,1.00,0.68
B1AUE5,0.008836,No,1.00,0.94
B1AVH7,-0.281,No,0.30,0.03
B1AVY7,-0.05221,No,1.00,0.68
B1AVZ0,-0.2158,No,0.60,0.09
B1AWL2,-0.5767,Yes,0.00,0.00
B1AX39,0.3762,No,0.06,0.00
B1AXD8,0.03482,No,1.00,0.78
B1AXP6,-0.06407,No,1.00,0.61
B1AY10,-0.352,No,0.10,0.01
B1AY13,0.05123,No,1.00,0.69
B1AZ99,-0.4152,Yes,0.03,0.00
B1AZA5,-0.2317,No,0.51,0.07
B1AZI6,-0.08313,No,1.00,0.51
B1AZP2,-0.2421,No,0.46,0.06
B2B9E1,-0.286,No,0.28,0.02
B2KF05,-0.3152,No,0.18,0.01
B2RQC2,0.01503,No,1.00,0.91
B2RQC6,0.05321,No,1.00,0.67
B2RQE8,-0.06554,No,1.00,0.61
B2RR83,-0.0007189,No,1.00,1.00
B2RRD7,-0.2405,No,0.47,0.06
B2RRE7,-0.1663,No,0.85,0.19
B2RSH2,-0.1126,No,1.00,0.37
B2RU80,-0.1186,No,1.00,0.35
B2RUR8,-0.03337,No,1.00,0.79
B2RVL6,0.01867,No,1.00,0.88
B2RWS6,-0.1406,No,0.95,0.27
B2RX14,-0.2026,No,0.67,0.11
B2RX88,-0.2318,No,0.51,0.07
B2RXC1,0.000506,No,1.00,1.00
B2RXR6,0.07257,No,1.00,0.57
B2RXS4,-0.02589,No,1.00,0.84
B2RXV4,0.02219,No,1.00,0.86
B2RY04,0.04455,No,1.00,0.73
B2RY56,0.1425,No,0.94,0.26
B5TVM2,-0.5897,Yes,0.00,0.00
B7ZMP1,-0.01038,No,1.00,0.93
B7ZNG0,-0.07664,No,1.00,0.55
B8JKV0,-0.478,Yes,0.01,0.00
B8ZXI1,0.07324,No,1.00,0.56
B9EHT4,-0.1638,No,0.86,0.20
B9EJ80,-0.2779,No,0.31,0.03
B9EJ86,-0.02817,No,1.00,0.82
B9EJR8,0.08906,No,1.00,0.48
B9EJV3,-0.4657,Yes,0.01,0.00
B9EKE5,0.2638,No,0.37,0.04
B9EKI3,0.005461,No,1.00,0.97
B9EKR1,-0.09777,No,1.00,0.44
C0HKD9,0.02037,No,1.00,0.87
C0HKE9,-0.2249,No,0.55,0.08
C0HKG6,0.506,Yes,0.00,0.00
D2EAC2,0.1444,No,0.94,0.25
D3YVF0,-0.1706,No,0.84,0.18
D3YX43,-0.0272,No,1.00,0.83
D3YXG0,-0.4667,Yes,0.01,0.00
D3YXJ0,-0.09192,No,1.00,0.47
D3YXK1,-0.05247,No,1.00,0.68
D3YXK2,0.1082,No,1.00,0.39
D3YYU8,0.1138,No,1.00,0.37
D3YZG8,-0.02855,No,1.00,0.82
D3YZP9,0.1011,No,1.00,0.43
D3YZV8,0.4386,Yes,0.02,0.00
D3Z2R5,0.1181,No,1.00,0.35
D3Z4S3,-0.00422,No,1.00,0.97
D3Z5L6,-0.06836,No,1.00,0.59
D3Z7P3,0.04296,No,1.00,0.73
D3Z7Q2,0.1432,No,0.94,0.26
E1U8D0,-0.4296,Yes,0.02,0.00
E2JF22,-0.02477,No,1.00,0.85
E9PUQ8,0.1093,No,1.00,0.39
E9PVA8,0.04889,No,1.00,0.70
E9PVB5,0.01282,No,1.00,0.92
E9PVD3,-0.221,No,0.57,0.08
E9PVX6,-0.7045,Yes,0.00,0.00
E9PXF8,-0.1236,No,1.00,0.33
E9PY46,-0.02971,No,1.00,0.81
E9PYH6,0.09514,No,1.00,0.45
E9PYK3,-0.1057,No,1.00,0.40
E9PYL2,-0.3892,Yes,0.05,0.00
E9PZJ8,0.07062,No,1.00,0.58
E9PZM4,-0.2806,No,0.30,0.03
E9Q1P8,0.1179,No,1.00,0.35
E9Q286,-0.1803,No,0.79,0.15
E9Q309,-0.8169,Yes,0.00,0.00
E9Q394,-0.2522,No,0.42,0.05
E9Q3C1,-0.6115,Yes,0.00,0.00
E9Q3L2,-0.07834,No,1.00,0.54
E9Q414,-0.2962,No,0.24,0.02
E9Q4F7,-0.8011,Yes,0.00,0.00
E9Q4N7,0.0364,No,1.00,0.77
E9Q555,-0.1364,No,0.97,0.28
E9Q557,-0.09891,No,1.00,0.44
E9Q5C9,-0.02894,No,1.00,0.82
E9Q5F9,0.004259,No,1.00,0.97
E9Q5G3,0.1132,No,1.00,0.37
E9Q5K9,0.06052,No,1.00,0.63
E9Q634,-0.002322,No,1.00,0.99
E9Q6B2,-0.08365,No,1.00,0.51
E9Q6J5,-0.4814,Yes,0.01,0.00
E9Q6P5,-0.1793,No,0.79,0.16
E9Q735,-0.1167,No,1.00,0.36
E9Q784,-0.2874,No,0.28,0.02
E9Q7D5,0.02704,No,1.00,0.83
E9Q7E2,-0.0157,No,1.00,0.90
E9Q7F2,-0.05905,No,1.00,0.64
E9Q7G0,-0.2024,No,0.68,0.11
E9Q7X6,0.01062,No,1.00,0.93
E9Q8D0,-0.5038,Yes,0.00,0.00
E9Q8I9,0.01328,No,1.00,0.92
E9Q8T2,-0.5152,Yes,0.00,0.00
E9Q9R9,-0.2012,No,0.68,0.11
E9QAM5,-0.07812,No,1.00,0.54
E9QAT4,0.09573,No,1.00,0.45
F6ZDS4,-0.04457,No,1.00,0.73
F7BJB9,0.1492,No,0.92,0.24
F8VPQ2,-0.01445,No,1.00,0.91
F8VPU2,-0.08271,No,1.00,0.51
F8VPZ9,-0.05199,No,1.00,0.68
F8VQB6,0.03292,No,1.00,0.80
G3X9G7,-0.6611,Yes,0.00,0.00
G3X9J0,-0.06306,No,1.00,0.62
G3X9K3,0.0929,No,1.00,0.46
G3XA57,-0.09962,No,1.00,0.43
G3XA59,0.174,No,0.82,0.17
G5E829,-0.01878,No,1.00,0.88
G5E870,-0.3876,Yes,0.05,0.00
G5E897,0.134,No,0.98,0.29
G5E8B9,-1.076,Yes,0.00,0.00
G5E8K5,-0.1589,No,0.88,0.21
G5E8P0,-0.04243,No,1.00,0.74
G5E8P1,-0.1528,No,0.90,0.23
G5E8Q8,-0.418,Yes,0.02,0.00
L0N7N1,-0.1149,No,1.00,0.36
O08528,0.05507,No,1.00,0.66
O08529,0.01465,No,1.00,0.91
O08532,-0.02511,No,1.00,0.84
O08539,-0.1206,No,1.00,0.34
O08543,0.04727,No,1.00,0.71
O08547,0.04822,No,1.00,0.70
O08550,-0.1378,No,0.96,0.28
O08553,0.1242,No,1.00,0.33
