uniprot,Mean Diff.,Discovery?,q value,Individual P Value
A1A5B6,0.01584,No,0.95,0.89
A1Z198,-1.554,Yes,0.00,0.00
A2A432,0.03225,No,0.92,0.78
A2A4P0,-0.2371,No,0.24,0.04
A2A5R2,-0.0617,No,0.89,0.59
A2A5Z6,-0.1434,No,0.62,0.21
A2A690,-0.2456,No,0.21,0.03
A2A699,-0.06107,No,0.89,0.60
A2A6A1,0.009655,No,0.95,0.93
A2A6Q5,0.001215,No,0.96,0.99
A2A6T1,0.06027,No,0.89,0.60
A2A791,-0.2569,No,0.18,0.03
A2A7S8,-0.1727,No,0.49,0.13
A2A863,0.09115,No,0.81,0.43
A2A884,0.02147,No,0.94,0.85
A2A8L1,-0.2531,No,0.19,0.03
A2A8L5,-0.2239,No,0.28,0.05
A2A8U2,-0.3295,Yes,0.05,0.00
A2A8Z1,0.03847,No,0.92,0.74
A2A9A2,0.2181,No,0.30,0.06
A2A9C3,-0.04912,No,0.91,0.67
A2AAE1,-0.2884,No,0.11,0.01
A2AAY5,-0.4466,Yes,0.00,0.00
A2ABV5,-0.07461,No,0.86,0.52
A2ACJ2,0.09562,No,0.80,0.41
A2ADA5,0.04324,No,0.91,0.71
A2ADY9,0.0366,No,0.92,0.75
A2AF47,-0.04235,No,0.91,0.71
Q8R3R5,-0.1803,No,0.46,0.12
A2AG58,-0.06081,No,0.89,0.60
A2AGH6,-0.1315,No,0.67,0.25
A2AGT5,-0.2148,No,0.32,0.06
A2AH22,0.166,No,0.52,0.15
A2AHC3,-0.2879,No,0.11,0.01
A2AI05,0.1792,No,0.46,0.12
A2AI08,-0.2035,No,0.36,0.08
A2AIL4,-0.2496,No,0.20,0.03
A2AIV2,-0.07375,No,0.86,0.52
A2AIW0,0.05443,No,0.90,0.64
A2AJ15,-0.1067,No,0.76,0.35
A2AJ88,-0.09401,No,0.80,0.41
A2AJI0,-0.4334,Yes,0.00,0.00
A2AJL3,-0.2366,No,0.24,0.04
A2AJT4,0.007908,No,0.96,0.95
A2AKG8,0.243,No,0.22,0.03
A2AKX3,-0.3569,Yes,0.03,0.00
A2ALU4,0.1013,No,0.78,0.38
A2ALW5,-0.1977,No,0.39,0.09
A2AM05,-0.08427,No,0.84,0.46
A2AM29,-0.1821,No,0.45,0.11
A2AN08,-0.03956,No,0.92,0.73
A2APB8,0.5396,Yes,0.00,0.00
A2APV2,-0.2906,No,0.11,0.01
A2APY7,0.03474,No,0.92,0.76
A2AQ19,0.03126,No,0.93,0.79
A2AQ25,-0.3451,Yes,0.04,0.00
A2AR02,-0.02214,No,0.94,0.85
A2AR95,0.08729,No,0.83,0.45
A2ARP1,-0.07234,No,0.86,0.53
A2ARV4,0.08009,No,0.85,0.49
A2AS55,0.1538,No,0.58,0.18
A2ASA8,0.09082,No,0.81,0.43
A2ASQ1,-0.2165,No,0.31,0.06
