"uniprot","main_gene","protein_name","U1_V3_1","U1_V3_2","U1_V9_1","U1_V9_2","U1_V15_1","U1_V15_2","U1_V21_1","U1_V21_2","U1_I3_1","U1_I3_2","U1_I9_1","U1_I9_2","U1_I15_1","U1_I15_2","U1_I21_1","U1_I21_2","U2_V3_1","U2_V3_2","U2_V9_1","U2_V9_2","U2_V15_1","U2_V15_2","U2_V21_1","U2_V21_2","U2_I3_1","U2_I3_2","U2_I9_1","U2_I9_2","U2_I15_1","U2_I15_2","U2_I21_1","U2_I21_2"
"A0JNU3","Aspg","60 kDa lysophospholipase;L-asparaginase;Platelet-activating factor acetylhydrolase",2313035.35750374,2342343.33903126,2394318.22182614,2131418.01997901,2380250.19688665,2191785.97295413,2074719.09593305,1968527.19695304,2171308.06314093,1834083.19173775,2018628.69623994,2077223.73583601,2353154.28479005,2389314.59216984,1955618.89881045,1831119.65235805,2262457.29011086,2006323.65750088,1888647.14216959,2002550.23781456,2648094.97507474,2316918.57135834,2004396.52666481,1823548.02803971,1977693.06690953,1971148.99275934,2124951.28398326,2422930.49590064,2219827.62473334,2172714.52565209,2025671.88778471,1938104.14388022
"A1A5B6","Tbc1d25","TBC1 domain family member 25",12768.6083166864,16216.0833845772,9090.16359033706,10611.4741969591,11428.3983509544,5702.93954577873,11886.4977756516,9539.05853861451,9328.85643084753,6457.79603609794,12681.1224252471,14175.0890751957,8115.75280144513,10587.2922281055,9751.17959544815,13428.4996449445,9777.41224961228,10021.1678563301,9463.42919731699,6667.53328691059,8431.06019087214,6273.34741631683,12164.4659504085,5242.82399060428,10065.5378050905,9220.98285179673,7865.88130381863,9477.89291949985,9202.31366433785,14310.7056593774,8839.30289290128,10350.5595061826
"A1IGU4","Arhgef37","Rho guanine nucleotide exchange factor 37",47647.8283345685,36351.1093663711,48151.7971498865,41864.7669538502,38674.9150434812,53336.1464421012,41014.0792121214,38868.6777580339,35052.0739883931,41097.5701429806,39099.5926221556,29317.1748238724,37421.0108842225,53002.7986129197,39945.893000788,40817.839143004,42285.1875788641,44979.0377093935,36564.336768641,34447.2538266371,38188.9282503192,27940.7880173299,36759.7302553066,45316.5328682492,31225.4555716668,37397.4930368782,30132.3035312411,33828.7619155167,29445.4706511275,32727.4955920214,37077.2219234601,36482.3260651972
"A2A432","Cul4b","Cullin-4B",340897.81485414,356408.666233588,386373.115102592,327260.291561733,385877.773052882,322723.169390481,332656.772351201,322580.895233368,371354.226046808,389734.374293786,357497.778619645,332150.786387281,346830.695780525,405550.572286623,355579.978951212,351408.681697083,286597.341032535,306321.822353966,304363.796703738,308845.799806068,289507.069132832,321173.116634998,268573.258758604,258751.828007558,249385.822150815,280785.212175768,270142.344752549,320392.753470394,313741.874817497,297308.974542399,303305.719535645,288034.603719962
"A2A4P0","Dhx8","ATP-dependent RNA helicase DHX8",37794.415390209,38206.4752441703,33811.1962234825,44350.9194944938,48372.6741466779,46741.7639932959,36190.8024080063,38141.0802262873,40407.103368795,52205.2890284114,50976.3674549077,44068.6402140937,53946.3935073232,30154.6398472668,54967.3240053564,36245.6513801009,48209.31209934,50902.1820551272,50890.2547607742,46175.3688475515,42958.2586174254,43405.7246113175,43669.8635478502,45385.5436371669,52800.1453694788,46146.9687988925,45495.1567242541,42012.9615326745,49753.6377042018,54598.3533629171,53592.619522733,48404.4094494634
"A2A5R2","Arfgef2","Brefeldin A-inhibited guanine nucleotide-exchange protein 2",1618930.89452403,1568926.09840925,1641996.59338518,1552887.4196912,1673993.71179804,1603552.77154166,1581009.8469082,1581876.21596637,1544175.41004388,1474294.23442184,1528037.63641211,1447201.86722825,1500568.40016746,1743330.59308969,1651278.96862323,1497245.73951459,1558415.44712995,1370063.02897538,1466722.86644571,1448227.48990705,1647859.12065495,1620080.32265914,1529974.66469214,1518626.42531231,1392125.98032804,1431331.00258864,1485931.51955925,1299463.72903141,1329071.51902337,1362997.71182228,1343868.74680246,1429202.69212182
"A2A6A1","Gpatch8","G patch domain-containing protein 8",25969.2759690045,26643.6966096629,22103.3597635553,21284.1817914774,23364.4885380715,15394.0016783302,20230.774146568,22339.0205421654,23480.8135471054,13536.4296037074,22552.0098532369,20815.9743039081,19445.0399360352,31545.9026281958,20279.6371036532,21160.5222019623,24935.276482244,21976.3913890681,26542.6871781106,22974.951794238,20044.0453875968,21780.4079525929,22004.0609875874,28411.8846318544,21923.0370424736,20193.2337638114,19655.3759123823,18547.0411754386,23362.3556893802,21206.6765036698,18548.0280030175,20796.2068907115
"A2A6Q5","Cdc27","Cell division cycle protein 27 homolog",148752.565773235,126011.666532322,145254.186169546,114771.983210933,133091.674653472,115056.76403426,123949.853489906,130635.228830929,115100.558879069,105891.930034793,137363.131948251,109323.490295182,124506.337905358,128002.460379278,95153.3124864383,101282.139727551,76816.8018891644,93798.2557111369,72510.6618568947,90132.3773478286,92230.822244105,73611.6691554866,92039.1589829952,98773.9222391201,85156.910447917,88486.7855676131,80678.7915064932,81734.0613274391,83051.2659266744,76307.5188722905,115438.80621845,75992.5388135992
"A2A8L5","Ptprf","Receptor-type tyrosine-protein phosphatase F",1499030.57011553,1498592.87357668,1447083.66327679,1405013.35804555,1582588.55424669,1539487.58041184,1492454.91193265,1395169.49533935,1605245.15645917,1537277.02553098,1385797.81346904,1446130.98407276,1493647.20788219,1545523.05539626,1475627.84800613,1359315.20809805,1293240.48395145,1399733.76774627,1331220.03759605,1225215.1231507,1490774.37735737,1296031.759013,1235962.64814137,1321126.52005806,1207208.9999056,1270902.40668227,1356737.02273574,1423923.02039463,1401663.23845918,1265136.78116727,1053627.39559734,1308009.8392873
"A2A8U2","Tmem201","Transmembrane protein 201",73385.9292425512,58338.6838338726,47142.8245216595,76869.775009103,98811.959558589,71390.6368924948,53069.5900527785,70681.1214926718,110874.783002297,61101.7465349234,109106.980588642,90423.4673021022,95861.2772014225,166165.447672219,99198.6756575455,112952.994735826,51831.333437292,79668.9711465884,61986.0770139317,67615.872973198,78456.6212354925,54526.2404902764,59935.2827385365,62664.7950096408,70180.2507597786,73519.297092254,94852.6968677405,77638.3103374378,79884.4559483788,57877.4942738014,81686.8321937751,49759.1013856626
