"uniprot","main_gene","protein_name","I3_1","I3_2","I3_3","I3_4","I9_1","I9_2","I9_3","I9_4","I15_1","I15_2","I15_3","I15_4","I21_1","I21_2","I21_3","I21_4","pval","Phase","Amplitude"
"A1A5B6","Tbc1d25","TBC1 domain family member 25",9328.85643084753,6457.79603609794,10065.5378050905,9220.98285179673,12681.1224252471,14175.0890751957,7865.88130381863,9477.89291949984,8115.75280144512,10587.2922281055,9202.31366433785,14310.7056593774,9751.17959544815,13428.4996449445,8839.30289290127,10350.5595061826,0.201155483439201,14.79,723
"A1IGU4","Arhgef37","Rho guanine nucleotide exchange factor 37",35052.0739883931,41097.5701429806,31225.4555716668,37397.4930368782,39099.5926221556,29317.1748238724,30132.3035312411,33828.7619155167,37421.0108842225,53002.7986129197,29445.4706511275,32727.4955920214,39945.893000788,40817.8391430041,37077.2219234601,36482.3260651972,0.122991117852334,21.48,2459
"A2A432","Cul4b","Cullin-4B",371354.226046808,389734.374293786,249385.822150815,280785.212175768,357497.778619645,332150.786387281,270142.344752549,320392.753470394,346830.695780525,405550.572286623,313741.874817497,297308.974542399,355579.978951212,351408.681697083,303305.719535645,288034.603719962,0.317435108737141,16.62,8696
"A2A4P0","Dhx8","ATP-dependent RNA helicase DHX8",40407.103368795,52205.2890284114,52800.1453694788,46146.9687988925,50976.3674549077,44068.6402140937,45495.1567242541,42012.9615326745,53946.3935073232,30154.6398472668,49753.6377042018,54598.3533629171,54967.3240053564,36245.6513801009,53592.619522733,48404.4094494634,0.155780990214867,0.55,1228
"A2A5R2","Arfgef2","Brefeldin A-inhibited guanine nucleotide-exchange protein 2",1544175.41004388,1474294.23442184,1392125.98032804,1431331.00258864,1528037.63641211,1447201.86722825,1485931.51955925,1299463.72903141,1500568.40016746,1743330.59308969,1329071.51902337,1362997.71182228,1651278.96862323,1497245.73951459,1343868.74680246,1429202.69212182,0.383097194539267,20.55,16900
"A2A6A1","Gpatch8","G patch domain-containing protein 8",23480.8135471054,13536.4296037074,21923.0370424736,20193.2337638114,22552.0098532369,20815.9743039081,19655.3759123823,18547.0411754386,19445.0399360352,31545.9026281958,23362.3556893802,21206.6765036698,20279.6371036532,21160.5222019623,18548.0280030175,20796.2068907115,0.184125796212024,15.7,2258
"A2A6Q5","Cdc27","Cell division cycle protein 27 homolog",115100.558879069,105891.930034793,85156.910447917,88486.7855676131,137363.131948251,109323.490295182,80678.7915064932,81734.0613274391,124506.337905358,128002.460379278,83051.2659266744,76307.5188722905,95153.3124864383,101282.139727551,115438.80621845,75992.5388135992,0.349230017313631,12.43,3099
"A2A8L5","Ptprf","Receptor-type tyrosine-protein phosphatase F",1605245.15645917,1537277.02553098,1207208.9999056,1270902.40668227,1385797.81346904,1446130.98407276,1356737.02273574,1423923.02039463,1493647.20788219,1545523.05539626,1401663.23845918,1265136.78116727,1475627.84800613,1359315.20809805,1053627.39559734,1308009.83928731,0.184125796212024,11.39,40885
"A2A8U2","Tmem201","Transmembrane protein 201",110874.783002297,61101.7465349234,70180.2507597786,73519.297092254,109106.980588642,90423.4673021022,94852.6968677405,77638.3103374378,95861.2772014225,166165.447672219,79884.4559483788,57877.4942738014,99198.6756575455,112952.994735826,81686.8321937751,49759.1013856626,0.239425905032043,13.57,9672
"A2A8Z1","Osbpl9","Oxysterol-binding protein-related protein 9",306524.933070923,262625.601933948,332874.765120693,317737.843150106,310313.612730091,319988.243718911,359633.996440816,300207.578959134,319440.744331894,377606.699133423,371865.606218531,315701.845867135,292294.78275782,298840.916431214,297138.797500787,321300.282752765,0.0664949120775167,14.24,21250
"A2A974","Cyp4a12b","",533949.199160007,525889.126756668,638609.643863207,660320.335472555,584371.030733375,606686.626043518,704674.973798,442374.524430968,624766.74767687,460967.143144095,580104.092934513,457706.140957916,513216.013194799,590680.508983055,436685.091392635,619324.528087567,0.169240514608877,6.13,24422
"A2AAE1","Kiaa1109","Uncharacterized protein KIAA1109",43473.4671338761,58798.874430635,30822.6950843903,40595.1592571653,42930.9019865419,43719.4230580044,45375.4528775193,35832.0376299065,35950.4011719564,49222.2469496981,41033.7636487176,45519.4035020118,30567.466583223,44369.6576099883,31192.568888833,47255.920582296,0.219906178338852,10.71,1340
"A2ADY9","Ddi2","Protein DDI1 homolog 2",2297734.53567958,2288831.48522469,1932551.94484404,1892444.85461176,2068113.68811756,2117284.02060531,2223404.1777326,2041229.4343739,2218980.13423443,2091874.78349336,1917084.85669324,2089670.41169437,2330947.29866729,2161981.10871641,2092497.35264783,2093182.95814894,0.169240514608877,0.03,23579
"A2AGT5","Ckap5","Cytoskeleton-associated protein 5",2089789.97566994,2084238.28870909,2004086.35784615,2051062.99629532,2040139.69506112,2001997.04954223,2222219.60657106,2114107.31191888,2156420.75764285,2143056.0408522,2204300.48769514,2179835.53968177,2156402.77897783,1995811.58985261,2106891.92062452,2130845.67329295,0.0664949120775167,15.76,51601
"A2AHC3","Camsap1","Calmodulin-regulated spectrin-associated protein 1",78237.1589960327,79751.8982040131,71506.5709363786,80262.4181000354,73811.2107594971,69958.5575773852,75812.3059221113,77174.7804385345,89622.0258527318,76145.038190734,80898.6291897464,80124.2792198473,95804.2018400118,72474.5703710095,80922.1643960215,79630.9242571146,0.0664949120775167,20.28,3480
"A2AIL4","Ndufaf6","NADH dehydrogenase (ubiquinone) complex I, assembly factor 6",1137906.75964714,836423.036665078,1229251.45314589,1149818.49339746,1111157.09686912,952042.984359641,1085685.13162328,1135667.07674027,892451.721723111,1316022.68952357,1206087.77913881,1060476.07796761,928378.621581732,993740.040368678,1062244.64884682,1199802.61290087,0.239425905032043,14.03,17634
"A2AIV2","Kiaa1429","Protein virilizer homolog",58738.6982208405,38869.5554385051,54903.1535158617,67529.8556593204,61761.2676093624,49864.3929797564,58014.6190464318,63469.457268222,52006.1431719521,61337.1958769177,61047.6160455017,73520.2376823098,58858.5015597163,49810.4240499679,68490.9164101004,56865.6829267591,0.184125796212024,15.65,2858
"A2AJ15","Man1b1","Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase",324243.203776633,307969.307787127,272739.824090877,340115.109517565,290375.552138106,283062.980992277,305684.450111557,284219.372680448,327905.840268369,270375.964421308,347217.835427575,307944.558857143,310415.066068566,293277.935294146,291469.10089823,277117.29882647,0.201155483439201,19.24,3089
"A2AJ88","Pnpla7","Patatin-like phospholipase domain-containing protein 7",505286.579825355,542018.97716854,465266.318256903,448810.561397884,498647.957897705,487536.5802047,416165.273282836,398680.209148059,618372.42961644,558806.766110551,450703.640124228,441423.112075199,488775.417179379,467393.299537045,453507.301272826,477177.016336185,0.219906178338852,19.21,58780
"A2AJI0","Map7d1","MAP7 domain-containing protein 1",146138.875753045,160066.155517549,246841.745460874,201787.682428272,129136.482453995,136502.916282151,200374.075075306,220322.118377791,168376.465275644,157671.120222325,209642.289381831,246618.005442301,198071.573940347,159379.353969389,217069.907927854,276767.029283758,0.143901630241577,21.51,16004
"A2AJL3","Fggy","FGGY carbohydrate kinase domain-containing protein",7498370.23997892,7887071.5644625,7109947.07595075,7222322.03023008,6936974.23615529,7089479.64504147,7369551.95932374,7434829.97509198,7781435.58791325,7681517.70506607,7476914.4961431,7018460.58711395,7642021.82055899,7284615.41478759,7733991.68978825,7938887.29218476,0.0807674488098014,21.63,177885
"A2AKG8","Focad","Focadhesin",156902.323475926,166048.028825435,123348.667588891,131255.642123278,158274.235556319,151499.904223924,117697.640415417,133395.996283663,151898.586942772,147316.35508246,139816.965224461,129647.897105843,154175.250884939,149034.438506027,137429.446079737,125279.82525522,0.383097194539267,23.45,1053
"A2AKK5","Acnat1","Acyl-coenzyme A amino acid N-acyltransferase 1",1770093.00280849,1461331.67356793,1457901.00539353,1483051.88334907,1830530.40698305,1586724.01585771,1897339.41597329,1591537.18030851,1681305.92461363,1914087.42365935,1442777.98868678,1487084.23837746,1798786.62190249,1692645.07948651,1585603.77304149,1701944.71981729,0.143901630241577,13.3,37004
"A2AKQ0","Slc35d1","",68099.9667816123,91910.4471209547,84373.5603152824,175082.066787263,60555.187544902,70771.4536463842,122310.949329864,153261.591255504,77336.6104671779,75601.6765512775,174574.295415237,126633.816338131,89273.6460246228,75813.0184422842,263048.009596648,164771.567920363,0.169240514608877,21.27,16195
"A2ALK8","Ptpn3","Tyrosine-protein phosphatase non-receptor type 3",57994.6730900771,49428.8103072911,87467.6481778144,81654.3130594587,77956.3092674481,49688.1246290484,92192.382434223,73463.1298806475,71696.4776183169,75108.4580403484,69832.2927419141,87794.8150240978,51009.0508887539,58963.1166083253,56622.4907823595,62948.7740154277,0.105578694433708,12.31,7539
"A2ALU4","Shroom2","Protein Shroom2",307711.122172279,284974.190364446,284869.629259828,333347.498149857,290958.169913718,296284.551090918,357099.263155741,340382.104879079,317656.663655122,319238.882287341,332401.432385375,341494.532783271,327213.671717408,291631.096689225,319266.409712062,364143.408703371,0.133396167882644,16.16,8739
"A2ALW5","Dnajc25","DnaJ homolog subfamily C member 25",94935.5397011806,56920.0358743806,108601.713181063,104945.127452845,81690.1828324796,81241.4895063932,99611.9245442018,102257.659961709,66291.3202293317,78054.2149814089,105009.907524902,109937.192469013,77338.5443106751,78280.5293587085,84205.85809497,81325.1894441393,0.184125796212024,10.1,3841
"A2AN08","Ubr4","E3 ubiquitin-protein ligase UBR4",5440505.34470308,5405035.95223492,5489569.90878896,5377173.4772129,5313513.72489612,5328355.39247412,5417257.95916668,5752961.82147167,5506130.74831173,5391405.67114477,5523662.05532742,5559822.16641938,5421438.72660965,5188889.27423123,5519325.23122502,5224015.07157373,0.133396167882644,12.71,59348
"A2APT9","Klhdc7a","Kelch domain-containing protein 7A",317518.478925346,298084.025640772,412036.618858035,371761.594778651,276172.919247729,364235.105622232,313625.241488568,384454.665711795,283253.251694647,232491.156384225,357975.538180191,425993.837351579,317204.929340592,258151.414027815,346202.34190392,338461.233918599,0.184125796212024,6,10472
