"uniprot","main_gene","protein_name","I3_1","I3_2","I3_3","I3_4","I9_1","I9_2","I9_3","I9_4","I15_1","I15_2","I15_3","I15_4","I21_1","I21_2","I21_3","I21_4","pval","Phase","Amplitude"
"A0JNU3","Aspg","60 kDa lysophospholipase;L-asparaginase;Platelet-activating factor acetylhydrolase",2171308.06314093,1834083.19173775,1977693.06690953,1971148.99275934,2018628.69623994,2077223.73583601,2124951.28398326,2422930.49590064,2353154.28479005,2389314.59216984,2219827.62473334,2172714.52565209,1955618.89881045,1831119.65235805,2025671.88778471,1938104.14388022,0.0216262025533578,13.57,164233
"A2BH40","Arid1a","AT-rich interactive domain-containing protein 1A",118226.646386098,124094.615436634,132768.135587898,134205.105415098,117630.892128936,139437.308335955,161295.974238787,144693.967814909,132539.939333533,130824.353847501,122986.220803596,138224.216018917,112275.261473293,102151.223174594,113812.755223672,118051.087705042,0.0274583284381719,10.83,12119
"A2RSJ4","Uhrf1bp1l","UHRF1-binding protein 1-like",513832.350831993,396102.54059127,566365.392589731,534872.162698148,609290.320562992,570581.416301376,619964.470797563,598295.788408025,480360.056844112,609130.492904805,515147.480725276,649662.576556942,454716.29283255,461221.715113903,529509.156817623,501320.284518749,0.0380528357368757,11.92,56799
"E0CYR6","Gm4477","Probable N-acetyltransferase CML3",30134.335903443,24715.1021338911,35191.5620700065,24030.6869286933,27405.4935581248,27987.3671918205,19562.8663788612,29879.5754719258,22379.8655284598,12550.5005348203,20439.8222252562,17484.4488952634,23441.1302356775,21562.3273670434,23989.4727424752,13405.2568192709,0.0247840195162149,5.68,3863
"E9PV24","Fga","Fibrinogen alpha chain;Fibrinopeptide A;Fibrinogen alpha chain",8663470.62150857,10980247.8711588,11229536.4329361,9368338.16760152,7855323.17903193,8715530.4072018,9198680.0356543,8346668.07724017,7220589.93338563,6192941.55986663,7152729.37660224,8467088.51968094,8368502.06542211,7282327.22666077,11717902.3687407,8840335.98549151,0.0341716271686448,3.17,1224152
"E9QAM5","Helz2","Helicase with zinc finger domain 2",2086079.98454682,1884986.6300496,1906408.97228054,1943735.0417175,1961710.5639893,1796261.96504248,1957547.66158356,1966100.78986192,1862717.03118128,1669501.64597607,1905977.26004651,1865799.69622269,1651867.74745036,1648303.11460028,1645016.31200296,1659101.00375108,0.0175321223791074,8.37,97434
"F8VQB6","Myo10","Unconventional myosin-X",108129.108749551,88612.4477989241,120375.855386915,121986.501272462,110846.341456348,132635.98143137,157329.827179987,179438.755056973,140798.269655965,132905.300188762,151357.588016959,175217.572002187,87392.7715859728,123349.05139014,144969.095597365,123575.968288156,0.0380528357368757,13.7,20925
"G3XA57","Rab11fip2","Rab11 family-interacting protein 2",17163.7715448496,17507.5612387672,17756.289247516,17055.7630850802,17948.5607178771,20739.2844815016,19466.2879183891,19669.3957407191,17572.4173419475,21922.7287736197,19261.9228584655,18855.1903414904,19034.6405230316,20762.7569498631,21057.3333807931,29766.470059261,0.0341716271686448,19.43,1368
"O08599","Stxbp1","Syntaxin-binding protein 1",298969.51463967,362495.257019252,305020.434932728,341008.945987978,294045.538909457,314315.736293542,286143.986668985,275611.629669362,270230.025845661,271218.180331093,282917.715614117,298172.680604333,290843.482025739,332783.930265441,357563.050332175,297457.935854317,0.0274583284381719,1.85,23759
"O08663","Metap2","Methionine aminopeptidase 2",2780349.40330264,2818569.46984866,2725572.59020601,2957931.86930323,2852773.34776216,3006549.50593446,2973372.85107694,3049221.51292361,2850081.66642451,3281911.60727157,2609595.58845028,2494111.71244264,2779219.23507627,2616942.20314289,2589291.46796744,2544194.63974216,0.0380528357368757,10.03,131923
