"uniprot","main_gene","protein_name","V3_1","V3_2","V3_3","V3_4","V9_1","V9_2","V9_3","V9_4","V15_1","V15_2","V15_3","V15_4","V21_1","V21_2","V21_3","V21_4","pval","Phase","Amplitude"
"A0JNU3","Aspg","60 kDa lysophospholipase;L-asparaginase;Platelet-activating factor acetylhydrolase",2313035.35750374,2342343.33903126,2262457.29011086,2006323.65750088,2394318.22182614,2131418.01997901,1888647.14216959,2002550.23781456,2380250.19688665,2191785.97295413,2648094.97507474,2316918.57135834,2074719.09593305,1968527.19695304,2004396.52666481,1823548.02803971,0.0554852420094916,14.42,96546
"A1A5B6","Tbc1d25","TBC1 domain family member 25",12768.6083166864,16216.0833845772,9777.41224961228,10021.1678563301,9090.16359033706,10611.4741969591,9463.42919731699,6667.53328691059,11428.3983509544,5702.93954577873,8431.06019087214,6273.34741631683,11886.4977756516,9539.05853861451,12164.4659504085,5242.82399060428,0.049885928955426,3.18,1764
"A1IGU4","Arhgef37","Rho guanine nucleotide exchange factor 37",47647.8283345685,36351.1093663711,42285.1875788641,44979.0377093935,48151.7971498865,41864.7669538502,36564.336768641,34447.2538266371,38674.9150434812,53336.1464421012,38188.9282503192,27940.7880173299,41014.0792121214,38868.6777580339,36759.7302553066,45316.5328682492,0.217423837680312,3.14,1273
"A2A432","Cul4b","Cullin-4B",340897.81485414,356408.666233588,286597.341032535,306321.822353966,386373.115102592,327260.291561733,304363.796703738,308845.799806068,385877.773052882,322723.169390481,289507.069132832,321173.116634998,332656.772351201,322580.895233368,268573.258758604,258751.828007558,0.152675567321562,11.1,14906
"A2A4P0","Dhx8","ATP-dependent RNA helicase DHX8",37794.415390209,38206.4752441703,48209.31209934,50902.1820551272,33811.1962234825,44350.9194944938,50890.2547607742,46175.3688475515,48372.6741466779,46741.7639932959,42958.2586174254,43405.7246113175,36190.8024080063,38141.0802262873,43669.8635478502,45385.5436371669,0.197813873864053,13.01,1413
"A2A5R2","Arfgef2","Brefeldin A-inhibited guanine nucleotide-exchange protein 2",1618930.89452403,1568926.09840925,1558415.44712995,1370063.02897538,1641996.59338518,1552887.4196912,1466722.86644571,1448227.48990705,1673993.71179804,1603552.77154166,1647859.12065495,1620080.32265914,1581009.8469082,1581876.21596637,1529974.66469214,1518626.42531231,0.0554852420094916,16.74,50071
"A2A6A1","Gpatch8","G patch domain-containing protein 8",25969.2759690045,26643.6966096629,24935.2764822439,21976.3913890681,22103.3597635553,21284.1817914774,26542.6871781106,22974.951794238,23364.4885380715,15394.0016783302,20044.0453875968,21780.4079525929,20230.774146568,22339.0205421654,22004.0609875874,28411.8846318544,0.0731935115297648,3.76,2012
"A2A6Q5","Cdc27","Cell division cycle protein 27 homolog",148752.565773235,126011.666532322,76816.8018891644,93798.2557111369,145254.186169546,114771.983210933,72510.6618568947,90132.3773478286,133091.674653472,115056.76403426,92230.822244105,73611.6691554866,123949.853489906,130635.228830929,92039.1589829952,98773.9222391201,0.238367390504533,0.85,4385
"A2A8L5","Ptprf","Receptor-type tyrosine-protein phosphatase F",1499030.57011553,1498592.87357668,1293240.48395145,1399733.76774627,1447083.66327679,1405013.35804555,1331220.03759605,1225215.1231507,1582588.55424669,1539487.58041184,1490774.37735737,1296031.759013,1492454.91193265,1395169.49533935,1235962.64814137,1321126.52005806,0.152675567321562,17.45,31187
"A2A8U2","Tmem201","Transmembrane protein 201",73385.9292425512,58338.6838338726,51831.3334372919,79668.9711465884,47142.8245216595,76869.775009103,61986.0770139317,67615.872973198,98811.959558589,71390.6368924948,78456.6212354925,54526.2404902764,53069.5900527785,70681.1214926718,59935.2827385365,62664.7950096408,0.165662103077434,16.04,6302
"A2A8Z1","Osbpl9","Oxysterol-binding protein-related protein 9",329356.365939924,346240.261160714,338772.382293831,279238.714341291,302491.294185916,279419.26510925,323334.670767629,300475.672196578,331651.781066312,298559.112730682,318003.757614203,348879.850062263,291831.509285701,324133.407801038,315244.407715344,326379.671808352,0.152675567321562,21.07,16273
"A2A974","Cyp4a12b","",532111.653119022,699314.682598181,458760.487433116,598099.215826392,664918.425260783,687150.898228809,448263.739052167,373656.94838438,627085.951930027,617775.898750603,406134.408398834,392828.385223845,628516.361803804,638086.789778311,468587.827952261,667768.346758858,0.128021585438007,1.22,37413
"A2AAE1","Kiaa1109","Uncharacterized protein KIAA1109",27156.9151193008,28780.1411017752,42800.3596695298,33661.9710407313,34402.8981219531,33533.1083211462,36954.0084406114,47136.968540519,38337.1050853537,31130.1657699366,59573.8246751958,37970.7280463198,28566.1856599359,32396.5491588054,36659.0756446938,30037.4187512349,0.0669816897310116,13.53,4750
"A2ADY9","Ddi2","Protein DDI1 homolog 2",1961718.18260285,2061289.40178298,1811417.25309454,1929454.9422351,2422256.68730188,2133743.56041801,1913116.06245369,1701692.43330723,2191130.59257646,2451074.21979414,2030140.47819972,1896573.46658629,2334242.85457233,2164859.28064494,2043862.79024132,1919392.65641662,0.152675567321562,17.19,70210
"A2AGT5","Ckap5","Cytoskeleton-associated protein 5",2128831.66673919,2140426.76248375,2123984.95353246,2244670.0380826,2137771.56545785,2258404.77023185,2211986.90696019,2393034.56647507,2230395.66142411,2331154.91672268,2161352.33836586,2118225.51255672,2211900.7908048,2232739.27626011,2095826.66983851,2230917.82139948,0.152675567321562,12.35,36489
"A2AHC3","Camsap1","Calmodulin-regulated spectrin-associated protein 1",57937.2609932935,64768.5182977566,76255.9824774257,76451.6202162418,71494.8119588482,72630.9946239802,103660.325144839,76961.2922578786,66723.0573905944,81784.0590166448,82443.353586368,81023.7368640031,105085.390356305,107784.680512149,81305.2909777007,88076.2806558077,0.0251505615202136,19.54,6232
"A2AIL4","Ndufaf6","NADH dehydrogenase (ubiquinone) complex I, assembly factor 6",1219658.40637804,1213566.31428185,1259769.86094211,1156436.47897442,1068152.90760884,1124177.41303476,1146868.7938656,1070617.09913214,1084920.64322573,733475.33954833,1205496.36183368,1120787.93254048,1031176.95339296,1095251.54414662,1216794.83031375,1253689.12244218,0.0612354818833877,2.87,78581
"A2AIV2","Kiaa1429","Protein virilizer homolog",53492.0141517114,57207.9922773495,68376.2772503947,66710.4164796847,52501.1848298719,52098.2205272985,41874.1254830295,53730.0320151909,58991.1861441787,48247.0704829177,67620.1017308435,58631.561807287,49711.240184997,56821.6510456005,63535.2750010336,61794.8400058992,0.0731935115297648,22.81,5726
"A2AJ15","Man1b1","Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase",362714.997332282,409675.160630032,317183.754098619,381769.67761666,359804.664273841,398320.400286188,355536.364468226,310995.651919053,400808.277202506,406369.9487679,359795.32143084,376742.574057251,425940.877900275,422654.543432663,381600.422589247,393098.210332276,0.0554852420094916,20.78,17728
"A2AJ88","Pnpla7","Patatin-like phospholipase domain-containing protein 7",521511.370055058,599569.736146913,476347.83012722,443005.350669521,565492.462862417,417818.431866875,458879.530058828,460875.144400138,519329.725883771,650288.801403762,436747.827557786,472658.060125212,596458.06011502,602079.034058511,409602.449814017,468713.501727274,0.217423837680312,21.39,20609
"A2AJI0","Map7d1","MAP7 domain-containing protein 1",174226.036930441,185151.986703608,257025.697433886,261988.540748801,169006.869671214,219381.347604427,266241.203404104,261243.956768143,153123.125078471,154290.000333281,241095.075590303,266732.264258367,196273.059940698,155752.55777734,225882.190263135,276699.285053425,0.238367390504533,6.58,9127
"A2AJL3","Fggy","FGGY carbohydrate kinase domain-containing protein",7257672.82232812,7856313.41784798,7556007.96604632,8249852.40328366,7943157.52442325,7878071.72856223,7348107.85794239,7158099.37561112,7532455.49131246,7868989.0387118,7964422.76852657,8032403.73778077,7736190.2245204,7251062.22010401,7489641.04962147,7491072.92503694,0.107087270144204,15.08,69103
"A2AKG8","Focad","Focadhesin",167462.806097399,169271.844002239,126624.437160067,139374.844924531,157714.130585432,151791.409176703,134953.571559945,191021.124420358,172043.682751777,167894.12056192,125193.543127057,145498.133122254,145338.105712799,160206.395184589,157049.575809897,128182.342190504,0.238367390504533,10.82,4923
"A2AKK5","Acnat1","Acyl-coenzyme A amino acid N-acyltransferase 1",1769324.09066845,1556390.12878033,1719538.38927248,1793484.53685649,1425020.93207192,1487163.69594856,1552951.09381192,1430139.76097593,1578897.07086049,1136527.83263251,1358009.30699295,1509335.37932092,1606739.40131525,1619780.71889509,1567782.01353749,1812926.88487259,0.0236709727915275,1.94,158281
"A2AKQ0","Slc35d1","",72257.1096389614,83975.4186136471,117256.472507653,128940.567368904,74833.5285675018,75986.1893411603,182391.304845075,87500.3340435392,108356.627300076,61059.3080641483,115681.629977112,112969.885371602,80476.8771460309,86052.3295499255,127073.681053366,89257.1254675181,0.347198085906588,8.76,3825
"A2ALK8","Ptpn3","Tyrosine-protein phosphatase non-receptor type 3",54247.7709127645,48441.4535065885,82734.6784196774,61637.601891104,45641.9527285531,57733.8916979064,63369.956934439,70512.7743834502,44060.6373610524,12236.8534703713,80887.9627171189,58588.5626601068,49545.2356379281,48564.8730602702,80518.632430818,56724.1517753587,0.238367390504533,4.09,5966
"A2ALU4","Shroom2","Protein Shroom2",306251.652390776,301551.545634207,323946.191020449,357637.56016797,325334.707281666,347433.993467301,333640.178640691,346951.268986587,320631.009711288,280297.530421164,368830.162805181,334539.635290021,360822.634066355,355384.278619273,405696.074766341,336662.634801754,0.0809168307917186,22.12,9703
"A2ALW5","Dnajc25","DnaJ homolog subfamily C member 25",107152.360472203,80424.6248834697,87325.4463690386,116277.40110285,75353.6434463587,66343.9413690446,118312.65620821,102988.18020887,106373.268851482,29205.8642187489,97899.7474428452,107944.44837967,62617.8205805049,98224.0049581564,120330.417534985,121901.77119194,0.197813873864053,2.54,7093
"A2AN08","Ubr4","E3 ubiquitin-protein ligase UBR4",5657037.71215141,5674175.45989428,5867595.27581111,5765980.58746948,5526630.38238498,5515943.8205633,5505076.77631892,5990559.23537588,5324678.31157629,5459144.69891882,5440016.48465161,5612440.62454575,5740224.34256197,5449857.34511506,5757130.88486406,5432053.44044258,0.0454175116054217,4.26,111981
"A2APT9","Klhdc7a","Kelch domain-containing protein 7A",212089.803172206,261939.858322147,321587.102807809,255717.571592622,263200.031690774,240581.046584157,286815.160129227,336094.043540992,262166.078134315,220243.381329264,316683.472025637,344565.99557837,246827.491858041,225835.455379696,318750.979864372,254401.587362127,0.152675567321562,13.1,13751
"A2APY7","Ndufaf5","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 5",431365.348270711,472734.407795347,514813.204535035,492524.299027708,563430.967098379,525856.197719367,623892.814043322,540399.729602727,511405.341453984,442761.709791941,587736.806836368,519213.524078932,591181.948831477,563524.745013723,474911.76480204,469048.409069145,0.0731935115297648,12.02,24274
"A2AQ07","Tubb1","Tubulin beta-1 chain",201364.529037612,206959.558666483,228532.026590308,183372.942334293,235503.64101971,246284.718646622,380126.224319059,177422.264502344,200462.409749539,286027.298402852,155820.763664134,162579.908927186,418286.662959159,261268.301730546,231614.14876263,220367.037183699,0.118206451105417,2.59,8455
"A2AQ19","Rtf1","RNA polymerase-associated protein RTF1 homolog",148067.710673651,104932.234965879,91487.3047231991,82613.2141191905,147063.238956183,129156.061124405,85405.2105366141,81653.8027483576,134805.799753401,132661.432337139,95121.8349065982,87816.916887203,138213.204990592,132495.311239406,75937.698936253,88278.7213536873,0.347198085906588,14.64,2659
"A2AQ25","Skt","Sickle tail protein",215763.524345398,200560.246571315,199951.506355018,194301.719356323,197923.43635805,199982.011420686,234912.326063201,220003.588375771,178316.854599352,235542.308536129,198379.475716422,175739.366224332,218501.163741834,197283.240111377,198627.161321211,217687.856344865,0.152675567321562,6.44,4132
"A2AR02","Ppig","Peptidyl-prolyl cis-trans isomerase G",273396.369289709,248645.580029009,223607.771447027,214093.870515321,221206.793129132,235854.709967066,221827.886481996,185689.170512188,245177.919820414,195439.855674204,250913.255347674,212668.811387306,205657.012734984,231251.591894795,208701.53134548,236643.29434504,0.165662103077434,1.6,5368
"A2AS89","Agmat","Agmatinase, mitochondrial",2806486.09015452,2951018.39346345,2499674.21992939,2512192.18255137,2917499.31702323,2861337.13827101,2497669.72782145,2554207.10588683,3063544.59543087,3074021.37334913,2656821.13834918,2502382.912144,3058196.2203213,3291669.57219699,2800561.29625046,2592267.2261751,0.128021585438007,19.94,81290
"A2ASQ1","Agrn","Agrin;Agrin N-terminal 110 kDa subunit;Agrin C-terminal 110 kDa subunit;Agrin C-terminal 90 kDa fragment;Agrin C-terminal 22 kDa fragment",397240.505754976,449091.904650079,467852.23386296,492935.7361256,391267.390245692,398238.748763037,508167.949344617,595087.275314971,443583.541689441,405699.786350907,437751.217808633,431385.155570642,434521.725311209,406832.632633832,430254.502243772,461511.441201652,0.238367390504533,7.89,17828
"A2ASS6","Ttn","Titin",366245.600134418,323388.34229121,264269.814490993,344133.024357355,317931.784017715,316750.527367304,16489080.4685173,736650.414219873,344821.137263641,649292.657344631,315154.18328823,670235.88205602,1835678.86432928,353731.354763179,297339.052043584,290163.533948019,0.13912209058523,10.96,2604945
"A2ASZ8","Slc25a25","Calcium-binding mitochondrial carrier protein SCaMC-2",171214.701674624,185048.701676062,233244.318475842,210913.573314646,195614.015242386,185117.983803144,175607.912841917,175635.933301352,212874.800213861,191077.218658178,174347.069386043,168523.023378482,96245.3551544464,187453.885827799,218727.142061353,132789.650353122,0.180218007778061,8.7,10106
"A2AT37","Upf2","",1218657.14162037,1268990.3290227,1168858.10194987,1255254.63510602,1199474.76818802,1266503.98122849,1170398.33007887,1198359.64714856,1290742.4307991,1367198.27810386,1186324.84771965,1210946.83267918,1223561.47959872,1255931.89939023,1117712.90417202,1310155.44617951,0.165662103077434,17.84,17448
"A2ATU0","Dhtkd1","Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial",5832385.54171386,5902376.01622019,5521408.86038869,5234573.98757459,5306587.68509893,5474286.82284219,5214433.64602392,5416926.35016633,6294136.26112567,6132626.8267581,6654757.53990799,5630237.16977383,5386226.35553503,5809624.19544366,7227114.69790599,5083703.96431196,0.0612354818833877,18.81,381225
"A2AVZ9","Slc43a3","Solute carrier family 43 member 3",65512.7780344472,66183.9356222551,86303.3960799735,67105.4090545959,66209.8681140446,74877.2614939631,65975.5947224716,74060.6858621321,76211.6050301513,76251.8188725374,78968.2626886317,72454.0689673962,70506.7758979211,78975.1578334744,81409.5317501289,78353.0402514039,0.0554852420094916,19.58,2617
"A2AWA9","Rabgap1","Rab GTPase-activating protein 1",723688.313659799,714209.587505257,772363.810911393,745019.105463235,633946.488797301,697497.372956687,795357.412957685,788680.909647734,704916.110203973,626334.831678733,798808.344476392,748950.982932887,655202.746110568,668163.099735494,778666.197245727,770529.424886551,0.347198085906588,5.76,6986
"A2AWP8","Arhgef10l","Rho guanine nucleotide exchange factor 10-like protein",174784.854721159,192513.285384563,159002.025306322,154139.627311227,230228.037427392,196870.013162462,182241.643909777,175314.848252415,190486.974542502,183756.148185837,164777.642617985,145151.558987288,215840.539528793,190441.49857423,163203.197198613,166774.878232251,0.13912209058523,8.89,6570
"A2BDX3","Mocs3","Adenylyltransferase and sulfurtransferase MOCS3;Molybdopterin-synthase adenylyltransferase;Molybdopterin-synthase sulfurtransferase",419543.028089656,358247.297577841,408825.301125423,448592.380299199,355119.785868235,334137.508447944,359904.167012459,376578.843057668,379467.761069031,235013.927890105,461788.201188884,398142.206516594,305005.705039583,291496.459868221,424218.74458536,395925.205093142,0.128021585438007,4.11,14539
"A2BE28","Las1l","Ribosomal biogenesis protein LAS1L",323604.931594232,393395.668404873,324585.791364618,365528.771269591,312281.380838646,315844.111624048,278379.951117335,333700.749597264,316962.171159917,332006.942122557,334635.178971917,375736.510962493,284495.620497848,283839.308364281,298016.93842955,298919.904031168,0.0731935115297648,8.42,6709
"A2BH40","Arid1a","AT-rich interactive domain-containing protein 1A",100185.99230714,106632.48764279,131638.939801219,134404.270090447,123145.836002077,99380.6026307042,127790.10440683,164494.903782806,101341.657226473,113391.973246966,152246.540444341,120947.233404981,95852.3042155058,118944.536589129,141512.717695596,137493.178766074,0.28703628030399,11.63,2971
"A2BIM8","Mup9","Major urinary protein 6;Major urinary proteins 11 and 8",88586368.9506365,91957996.4451158,54751490.3120775,165702964.412567,114083650.379685,87816332.1323147,147407547.372725,60425013.5262074,95151565.0445294,88009973.1264498,88625246.5458497,72738384.8743044,93010911.4632875,125051817.104754,107021317.262701,205760326.768696,0.107087270144204,23.77,13198075
"A2CG49","Kalrn","Kalirin",78773.0082085591,63248.6054338936,52907.9140879279,63566.7707518313,38127.3464721564,67254.0869134572,60905.3353820059,62567.6941700547,53628.6106229273,50420.4035080699,95374.1057234331,58529.3137848297,35317.3334909341,41877.0157024568,77501.4245093458,67438.5613965357,0.217423837680312,9.24,507
"A2CG63","Arid4b","AT-rich interactive domain-containing protein 4B",105381.677749481,121479.431912587,148598.807743363,147795.119723555,115166.7413159,107253.874030683,137794.478632618,159039.949317764,130206.013574376,149194.377546797,145933.845221421,141070.97708091,173435.647423903,150285.200186348,141292.578659489,123857.765030626,0.128021585438007,21.52,6021
"A2RSJ4","Uhrf1bp1l","UHRF1-binding protein 1-like",518929.795068449,475811.679223713,498195.77875857,508400.836975113,432585.206733583,451265.404361813,435736.61221941,520270.20379914,513500.100188824,384416.517585481,598630.723223675,570956.606960882,358691.76072468,387030.077355805,474623.498078909,482478.492262498,0.118206451105417,12.3,16335
"A2RSQ0","Dennd5b","DENN domain-containing protein 5B",835393.464963691,751462.880931793,790120.784196791,880399.212649307,795119.61577199,767861.138586139,844979.321257313,862332.000977188,837018.626596995,732131.237298591,837897.527010725,894818.820494891,673486.578164136,775172.923104989,810558.467870477,843560.559573204,0.180218007778061,11.44,17206
