"uniprot","main_gene","protein_name","V3_1","V3_2","V3_3","V3_4","V9_1","V9_2","V9_3","V9_4","V15_1","V15_2","V15_3","V15_4","V21_1","V21_2","V21_3","V21_4","pval","Phase","Amplitude"
"A1A5B6","Tbc1d25","TBC1 domain family member 25",12768.6083166864,16216.0833845772,9777.41224961228,10021.1678563301,9090.16359033706,10611.4741969591,9463.42919731699,6667.53328691059,11428.3983509544,5702.93954577873,8431.06019087214,6273.34741631683,11886.4977756516,9539.05853861451,12164.4659504085,5242.82399060428,0.049885928955426,3.18,1764
"A2AHC3","Camsap1","Calmodulin-regulated spectrin-associated protein 1",57937.2609932935,64768.5182977566,76255.9824774257,76451.6202162418,71494.8119588482,72630.9946239802,103660.325144839,76961.2922578786,66723.0573905944,81784.0590166448,82443.353586368,81023.7368640031,105085.390356305,107784.680512149,81305.2909777007,88076.2806558077,0.0251505615202136,19.54,6232
"A2AKK5","Acnat1","Acyl-coenzyme A amino acid N-acyltransferase 1",1769324.09066845,1556390.12878033,1719538.38927248,1793484.53685649,1425020.93207192,1487163.69594856,1552951.09381192,1430139.76097593,1578897.07086049,1136527.83263251,1358009.30699295,1509335.37932092,1606739.40131525,1619780.71889509,1567782.01353749,1812926.88487259,0.0236709727915275,1.94,158281
"A2AN08","Ubr4","E3 ubiquitin-protein ligase UBR4",5657037.71215141,5674175.45989428,5867595.27581111,5765980.58746948,5526630.38238498,5515943.8205633,5505076.77631892,5990559.23537588,5324678.31157629,5459144.69891882,5440016.48465161,5612440.62454575,5740224.34256197,5449857.34511506,5757130.88486406,5432053.44044258,0.0454175116054217,4.26,111981
"A2RSX7","Tyw5","tRNA wybutosine-synthesizing protein 5",96232.0426674559,87274.9496514847,86649.0102257945,89008.979177231,95449.3756276299,89752.3443172122,79790.0233607647,92368.2738893523,78932.3823679584,66510.6538450442,91667.2434205145,75238.28868143,56941.791127742,87807.0925812288,79630.2823341044,80785.237111924,0.049885928955426,7.27,4684
"A2RSY6","Trmt1l","TRMT1-like protein",165786.626851766,186886.062117047,150405.231318442,169709.980717854,145064.835202612,167935.204624119,134911.036947334,133989.742442228,153591.393916766,175262.892000808,147900.288454565,140726.291706513,202142.090833534,175103.347989039,166896.081502552,187954.77760305,0.0236709727915275,23.53,17077
"A6H5Y3","Mtr","Methionine synthase",308546.116415432,337127.575018386,342171.15196683,317212.766630461,345534.755232313,340863.53139297,357430.565412571,466489.329131192,311582.344069282,306945.589443096,343656.215033516,356826.863019576,259753.501094457,287701.17479733,309668.471470905,305487.958563355,0.0173664959898176,10.34,36583
"A6H630","Armt1","Protein-glutamate O-methyltransferase",667039.021515445,751842.520806428,666006.291678178,676414.426381983,578810.919244645,585680.884244926,648597.829208459,646890.04963696,630500.898793767,495819.567437855,658269.690476112,658790.376064677,652597.752924298,612017.902679585,710624.697483491,688284.927201428,0.0317747584604215,1.61,41840
"B1AY13","Usp24","Ubiquitin carboxyl-terminal hydrolase 24",2967444.75059922,3138999.11128884,2955280.18985581,2860392.1373077,3004450.89373018,2891020.4289504,2941826.10450804,2872283.52289123,3033356.79535853,3334364.90277992,3001428.52259109,3041620.57619437,2952246.22727725,3013701.87576231,2955600.17404105,2942327.20777478,0.049885928955426,17.39,60152
"B1AZP2","Dlgap4","Disks large-associated protein 4",163408.008229709,160588.820737357,145587.239763574,150810.145033295,183889.625722406,157573.62146671,158898.509007596,159652.796841034,137246.114116038,131501.743077076,139446.781673292,143058.943528141,144978.887912552,151497.660865727,160991.205176731,152883.096131058,0.0236709727915275,5.92,14190
