Experiment ID,22141.0,
Experiment name,Liver digitonin prot log2,
Job,9e336919-5e29-48b2-a126-7133a830f7db,
Submitted,2022-08-22T16:31:46.852642503,Finished,2022-08-22T16:31:52.364037939,
Method,MFourFit,
Params,amp&baseline dtr min-48.0 p(23.0-25.0),


Summary statistics,
Phase/Amplitude method,by fit,

Group Label,N,,Period,Period Std,,Circ. Phase To Zero,Circ. Phase To Window,Circ. Phase Std,Abs Phase To Zero,Abs Phase To Window,Abs Phase Std,,Amplitude,Amplitude Std,,GOF,ERR,
A0JNU3,1,,23.1,0.0,,14.42,14.42,0.0,13.88,13.88,0.0,,0.06,0.0,,1.0,1.0,
A1A5B6,1,,23.1,0.0,,3.18,3.18,0.0,3.06,3.06,0.0,,0.25,0.0,,1.0,1.0,
A1IGU4,1,,23.1,0.0,,3.14,3.14,0.0,3.02,3.02,0.0,,0.06,0.0,,1.0,1.0,
A2A432,1,,23.1,0.0,,11.1,11.1,0.0,10.68,10.68,0.0,,0.07,0.0,,1.0,1.0,
A2A4P0,1,,23.1,0.0,,13.01,13.01,0.0,12.52,12.52,0.0,,0.05,0.0,,1.0,1.0,
A2A5R2,1,,23.1,0.0,,16.74,16.74,0.0,16.11,16.11,0.0,,0.04,0.0,,1.0,1.0,
A2A6A1,1,,23.1,0.0,,3.76,3.76,0.0,3.62,3.62,0.0,,0.13,0.0,,1.0,1.0,
A2A6Q5,1,,23.1,0.0,,0.85,0.85,0.0,0.82,0.82,0.0,,0.07,0.0,,1.0,1.0,
A2A8L5,1,,23.1,0.0,,17.45,17.45,0.0,16.8,16.8,0.0,,0.03,0.0,,1.0,1.0,
A2A8U2,1,,23.1,0.0,,16.04,16.04,0.0,15.44,15.44,0.0,,0.09,0.0,,1.0,1.0,
A2A8Z1,1,,23.1,0.0,,21.07,21.07,0.0,20.28,20.28,0.0,,0.03,0.0,,1.0,1.0,
A2A974,1,,23.1,0.0,,1.22,1.22,0.0,1.17,1.17,0.0,,0.12,0.0,,1.0,1.0,
A2AAE1,1,,23.1,0.0,,13.53,13.53,0.0,13.02,13.02,0.0,,0.18,0.0,,1.0,1.0,
A2ADY9,1,,23.1,0.0,,17.19,17.19,0.0,16.55,16.55,0.0,,0.05,0.0,,1.0,1.0,
A2AGT5,1,,23.1,0.0,,12.35,12.35,0.0,11.89,11.89,0.0,,0.02,0.0,,1.0,1.0,
A2AHC3,1,,23.1,0.0,,19.54,19.54,0.0,18.81,18.81,0.0,,0.1,0.0,,1.0,1.0,
A2AIL4,1,,23.1,0.0,,2.87,2.87,0.0,2.76,2.76,0.0,,0.11,0.0,,1.0,1.0,
A2AIV2,1,,23.1,0.0,,22.81,22.81,0.0,21.95,21.95,0.0,,0.1,0.0,,1.0,1.0,
A2AJ15,1,,23.1,0.0,,20.78,20.78,0.0,20.0,20.0,0.0,,0.07,0.0,,1.0,1.0,
