VP1	VP2	V1	V9	V13	V10	V3	V5	V4	V12	V11	V2	V6	V14	V7	V15	V8	V16	Taxonomy IDs	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	MS/MS count	Protein IDs	Majority protein IDs	Protein names	Gene names	id	Fasta headers
#!{Type}E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	C	N	N	N	N	N	N	N	N	N	N	T	T	T	T	T	T
8890.599609375	7986.89990234375	10460	10948	10708	11282	15400	10878	13542	11900	11166	12904	10620	12281	11297	10440	14062	10952	-1	3	3	3	4.9	4.9	4.9	82.574	0	32.057	2	A1A5B6	A1A5B6	TBC1 domain family member 25	Tbc1d25	1	sp|A1A5B6|TBC25_MOUSE TBC1 domain family member 25 OS=Mus musculus OX=10090 GN=Tbc1d25 PE=1 SV=1
574100	437200	628820	648570	606320	703710	731610	632030	739750	669960	574620	713930	619190	680940	714300	761190	747030	632790	-1	24	24	18	30.9	30.9	25.5	107.39	0	83.291	32	A2A432-2;A2A432	A2A432-2;A2A432	Cullin-4B	Cul4b	2	sp|A2A432-2|CUL4B_MOUSE Isoform 2 of Cullin-4B OS=Mus musculus OX=10090 GN=Cul4b;sp|A2A432|CUL4B_MOUSE Cullin-4B OS=Mus musculus OX=10090 GN=Cul4b PE=1 SV=1
611.450012207031	665.849975585938	1147.19995117188	1302.59997558594	1169.09997558594	1479.69995117188	1506.09997558594	878.840026855469	1367.80004882813	1564.59997558594	1742.30004882813	1661.5	1345.69995117188	1217	1712.30004882813	1498.09997558594	1281.30004882813	1053.69995117188	-1	2	2	2	1.8	1.8	1.8	142.57	0.00027917	4.1924	1	A2A4P0	A2A4P0	ATP-dependent RNA helicase DHX8	Dhx8	3	sp|A2A4P0|DHX8_MOUSE ATP-dependent RNA helicase DHX8 OS=Mus musculus OX=10090 GN=Dhx8 PE=2 SV=1
644450	476680	746430	743770	731930	751410	793240	687930	811350	803180	739950	808920	682390	769830	743460	789860	857730	773500	-1	36	36	30	25.3	25.3	20.9	202.24	0	323.31	36	A2A5R2	A2A5R2	Brefeldin A-inhibited guanine nucleotide-exchange protein 2	Arfgef2	4	sp|A2A5R2|BIG2_MOUSE Brefeldin A-inhibited guanine nucleotide-exchange protein 2 OS=Mus musculus OX=10090 GN=Arfgef2 PE=1 SV=1
961.549987792969	474.109985351563	1201.5	1946.80004882813	956.030029296875	1041.30004882813	832.859985351563	1330.40002441406	1665.09997558594	1027.80004882813	777.450012207031	1647	897.710021972656	861.119995117188	903.599975585938	1846.5	1027.59997558594	985.580017089844	-1	2	2	2	3.5	3.5	3.5	84.568	0	11.52	3	A2A5Z6-2;A2A5Z6	A2A5Z6-2;A2A5Z6	E3 ubiquitin-protein ligase SMURF2	Smurf2	5	sp|A2A5Z6-2|SMUF2_MOUSE Isoform 2 of E3 ubiquitin-protein ligase SMURF2 OS=Mus musculus OX=10090 GN=Smurf2;sp|A2A5Z6|SMUF2_MOUSE E3 ubiquitin-protein ligase SMURF2 OS=Mus musculus OX=10090 GN=Smurf2 PE=1 SV=1
375130	248240	427540	441940	418300	428470	466130	395670	449710	393840	398460	477020	443530	443120	422000	289330	489220	402500	-1	38	38	38	25.3	25.3	25.3	221.36	0	323.31	46	A2A690-2;A2A690	A2A690-2;A2A690	Protein TANC2	Tanc2	6	sp|A2A690-2|TANC2_MOUSE Isoform 2 of Protein TANC2 OS=Mus musculus OX=10090 GN=Tanc2;sp|A2A690|TANC2_MOUSE Protein TANC2 OS=Mus musculus OX=10090 GN=Tanc2 PE=1 SV=1
285310	190370	315160	291760	279440	320890	306310	260530	293220	276230	265570	328340	281010	272230	269240	222750	325560	276160	-1	17	17	17	26.3	26.3	26.3	87.486	0	323.31	13	A2A699;A2A699-2	A2A699;A2A699-2	Protein FAM171A2	Fam171a2	7	sp|A2A699|F1712_MOUSE Protein FAM171A2 OS=Mus musculus OX=10090 GN=Fam171a2 PE=1 SV=1;sp|A2A699-2|F1712_MOUSE Isoform 2 of Protein FAM171A2 OS=Mus musculus OX=10090 GN=Fam171a2
18297	14502	26896	22453	20648	23389	26757	24068	29175	22963	24778	28732	25022	25989	25653	25762	30163	21311	-1	10	10	10	8.4	8.4	8.4	164.99	0	207.57	4	A2A6A1	A2A6A1	G patch domain-containing protein 8	Gpatch8	8	sp|A2A6A1|GPTC8_MOUSE G patch domain-containing protein 8 OS=Mus musculus OX=10090 GN=Gpatch8 PE=1 SV=1
75761	49852	79111	82077	77662	81135	81957	75107	80587	76118	68239	100670	84987	80338	75456	72143	95249	81264	-1	5	5	5	8.1	8.1	8.1	91.841	0	29.046	6	A2A6Q5;A2A6Q5-2;A2A6Q5-3	A2A6Q5;A2A6Q5-2;A2A6Q5-3	Cell division cycle protein 27 homolog	Cdc27	9	sp|A2A6Q5|CDC27_MOUSE Cell division cycle protein 27 homolog OS=Mus musculus OX=10090 GN=Cdc27 PE=1 SV=1;sp|A2A6Q5-2|CDC27_MOUSE Isoform 2 of Cell division cycle protein 27 homolog OS=Mus musculus OX=10090 GN=Cdc27;sp|A2A6Q5-3|CDC27_MOUSE Isoform 3 of Cell
