Experiment ID,26213.0,
Experiment name,Brain phosphoproteomics,
Job,f26296f3-0164-451c-a35f-2091a4d3dddd,
Method,BD2 eJTK,
Submitted,2023-09-12T17:33:11.725455851,Finished,2023-09-12T17:33:12.684830097,
NULL_SIZE,100000,
DW_END,0.0,
PERIOD_MIN,24.0,
DATA_SET_ID,26213_NO_DTR,
PERIOD_MAX,24.0,
DW_START,0.0,
PRESET,EJTK_CLASSIC,
METHOD,BD2EJTK,
DATA_SET_TYPE_NAME,no dtr,
PARAMS_SUMMARY,no dtr min-max p(24.0),
DATA_SET_TYPE,NO_DTR,


Individual Results,

Data Id,Data Label,,tau,emp p,emp p BH Corrected,Pattern Shape,Pattern Period,Pattern Peak,P. Trough,P. Circ. Peak,P. Circ. Trough,P. Width,P. Asym,,JTK p from tau,JTK p BH Corrected,bf corrected JTK p,BH bf corrected p,
1,A1IGU4_S15___1,,0.20497289793748086,0.7500124998750013,0.9836522870292533,ACOS,24.0,16.0,8.0,16.0,8.0,24.0,0.33,,0.13405890065957154,0.18041889221405025,10.45659425144658,1.0,
2,A2A5R2_S227___1,,0.29814239699997214,0.43751562484375156,0.8852189547537208,COS,24.0,20.0,8.0,20.0,8.0,24.0,0.5,,0.05361444160464873,0.10847731432202215,4.181926445162601,1.0,
3,A2A5R2_S1535___1,,0.7453559924999303,2.599974000259997E-4,0.06212637873621263,COS,24.0,20.0,8.0,20.0,8.0,24.0,0.5,,2.825417584497489E-5,0.005835764267952787,0.0022038257159080416,0.45518961290031734,
4,A2A5R2_S1518___1,,0.46584749531245645,0.0937690623093769,0.5471579350140564,COS,24.0,8.0,20.0,8.0,20.0,24.0,0.5,,0.005920711107451196,0.03454832525336907,0.4618154663811933,1.0,
5,A2A5R2_S1521___1,,0.14907119849998607,0.8750112498875011,0.9836522870292533,ACOS,24.0,14.0,16.0,14.0,16.0,24.0,0.92,,0.21029812498078254,0.23917533062426458,16.403253748501037,1.0,
6,A2A5R2_S356___1,,0.5217491947499513,0.04689953100468995,0.4127676955274646,COS,24.0,20.0,8.0,20.0,8.0,24.0,0.5,,0.0024097615294134673,0.021208564178760516,0.18796139929425046,1.0,
7,A2A6A1_S648___1,,0.3540440964374669,0.3125168748312517,0.8386535601185869,ACOS,24.0,20.0,0.0,20.0,0.0,24.0,0.83,,0.027887169552556004,0.07848809381134579,2.175199225099368,1.0,
8,A2A6A1_S735___1,,0.48448139512495475,0.07814921850781492,0.5245437011922015,ACOS,24.0,14.0,4.0,14.0,4.0,24.0,0.42,,0.004428713520216645,0.029725873473476612,0.3454396545768983,1.0,
9,A2AAE1_S4666___1,,0.3540440964374669,0.3125168748312517,0.8386535601185869,ACOS,24.0,22.0,20.0,22.0,20.0,24.0,0.08,,0.027887169552556004,0.07848809381134579,2.175199225099368,1.0,
10,A2AAE1_S2755___1,,0.3913118960624634,0.21876781232187678,0.7543227814475101,COS,24.0,2.0,14.0,2.0,14.0,24.0,0.5,,0.017251591034782986,0.059484382074478995,1.345624100713073,1.0,
11,A2ADY9_S121___1,,0.3540440964374669,0.3125168748312517,0.8386535601185869,ACOS,24.0,22.0,16.0,22.0,16.0,24.0,0.25,,0.027887169552556004,0.07848809381134579,2.175199225099368,1.0,
12,A2AIV2_S1578___1,,0.2795084971874739,0.5000149998500015,0.9204821588147755,ACOS,24.0,8.0,8.0,8.0,8.0,24.0,0.0,,0.06550881647134288,0.1205957757767903,5.1096876847647446,1.0,
13,A2AIV2_S138___1,,0.3354101966249687,0.34376656233437664,0.8386535601185869,ACOS,24.0,8.0,16.0,8.0,16.0,24.0,0.67,,0.03498372787327912,0.08730403942892999,2.7287307741157716,1.0,
