Ink_P1	Ink_15	Ink_1	Ink_9	Ink_13	Ink_6	Ink_3	Ink_11	Ink_4	Ink_12	Ink_5	Ink_2	Ink_15	Ink_14	Ink_7	Ink_16	Ink_8	Ink_P2	Taxonomy IDs	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	MS/MS count	Protein IDs	Majority protein IDs	Protein names	Gene names	id	Fasta headers
#!{Type}E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	C	N	N	N	N	N	N	N	N	N	N	T	T	T	T	T	T
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1	1	1	1	11.9	11.9	11.9	17.701	0.0028627	2.0401	0	A0A0U1RQ45	A0A0U1RQ45			1	sp|A0A0U1RQ45|TM275_MOUSE Transmembrane protein 275 OS=Mus musculus OX=10090 GN=Tmem275 PE=3 SV=1
13968	21132	26993	20927	21405	23884	18652	19911	26834	20848	22160	22959	21284	22579	22047	19571	20891	18861	-1	3	3	3	5	5	5	82.574	0	14.065	2	A1A5B6	A1A5B6	TBC1 domain family member 25	Tbc1d25	3	sp|A1A5B6|TBC25_MOUSE TBC1 domain family member 25 OS=Mus musculus OX=10090 GN=Tbc1d25 PE=1 SV=1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1	1	1	1	2.3	2.3	2.3	111.06	0	56.067	0	A2A3V1	A2A3V1	A-kinase anchor protein 17B	Akap17b	4	sp|A2A3V1|AK17B_MOUSE A-kinase anchor protein 17B OS=Mus musculus OX=10090 GN=Akap17b PE=1 SV=2
419990	566160	747900	605480	621870	745020	549920	561210	731590	553950	650860	691240	653660	617410	710200	457250	450790	514580	-1	17	17	12	22.2	22.2	17.6	107.39	0	119.34	21	A2A432-2;A2A432	A2A432-2;A2A432	Cullin-4B	Cul4b	5	sp|A2A432-2|CUL4B_MOUSE Isoform 2 of Cullin-4B OS=Mus musculus OX=10090 GN=Cul4b;sp|A2A432|CUL4B_MOUSE Cullin-4B OS=Mus musculus OX=10090 GN=Cul4b PE=1 SV=1
521450	765080	893660	706120	753560	816770	872890	762680	880000	751830	744050	758270	775080	797730	861310	806060	869440	609440	-1	35	35	28	25.4	25.4	20.8	202.24	0	323.31	39	A2A5R2	A2A5R2	Brefeldin A-inhibited guanine nucleotide-exchange protein 2	Arfgef2	6	sp|A2A5R2|BIG2_MOUSE Brefeldin A-inhibited guanine nucleotide-exchange protein 2 OS=Mus musculus OX=10090 GN=Arfgef2 PE=1 SV=1
380100	503710	667530	525380	496270	629710	450730	506020	684730	514760	592490	592170	573740	587130	642430	539350	549220	491180	-1	36	36	35	24	24	23.5	220.26	0	323.31	39	A2A690;A2A690-2	A2A690;A2A690-2	Protein TANC2	Tanc2	7	sp|A2A690|TANC2_MOUSE Protein TANC2 OS=Mus musculus OX=10090 GN=Tanc2 PE=1 SV=1;sp|A2A690-2|TANC2_MOUSE Isoform 2 of Protein TANC2 OS=Mus musculus OX=10090 GN=Tanc2
192810	252310	365390	274240	261390	327980	204400	232400	331350	275140	313300	296420	315970	288240	328210	265980	271450	230710	-1	21	21	21	31	31	31	87.486	0	323.31	13	A2A699;A2A699-2	A2A699;A2A699-2	Protein FAM171A2	Fam171a2	8	sp|A2A699|F1712_MOUSE Protein FAM171A2 OS=Mus musculus OX=10090 GN=Fam171a2 PE=1 SV=1;sp|A2A699-2|F1712_MOUSE Isoform 2 of Protein FAM171A2 OS=Mus musculus OX=10090 GN=Fam171a2
10208	14422	20126	18055	14277	18649	15689	15733	17709	13260	14481	15578	16165	16726	18412	16822	18437	12245	-1	7	7	7	5	5	5	164.99	0	88.421	3	A2A6A1	A2A6A1	G patch domain-containing protein 8	Gpatch8	9	sp|A2A6A1|GPTC8_MOUSE G patch domain-containing protein 8 OS=Mus musculus OX=10090 GN=Gpatch8 PE=1 SV=1
41781	52264	65775	49023	44349	64921	60964	51905	55498	52800	56482	62458	58948	60505	52153	61064	66269	42719	-1	2	2	2	3	3	3	91.841	0	11.638	3	A2A6Q5;A2A6Q5-2;A2A6Q5-3	A2A6Q5;A2A6Q5-2;A2A6Q5-3	Cell division cycle protein 27 homolog	Cdc27	10	sp|A2A6Q5|CDC27_MOUSE Cell division cycle protein 27 homolog OS=Mus musculus OX=10090 GN=Cdc27 PE=1 SV=1;sp|A2A6Q5-2|CDC27_MOUSE Isoform 2 of Cell division cycle protein 27 homolog OS=Mus musculus OX=10090 GN=Cdc27;sp|A2A6Q5-3|CDC27_MOUSE Isoform 3 of Cell
