Experiment ID,22135.0,
Experiment name,Liver digitonin phos,
Job,c2380340-f1e6-484b-8ed7-14c3da63b0be,
Method,BD2 eJTK,
Submitted,2023-08-30T14:57:10.455261581,Finished,2023-08-30T14:57:11.488454573,
NULL_SIZE,100000,
DW_END,0.0,
PERIOD_MIN,24.0,
DATA_SET_ID,22135_NO_DTR,
PERIOD_MAX,24.0,
DW_START,0.0,
PRESET,EJTK_CLASSIC,
METHOD,BD2EJTK,
DATA_SET_TYPE_NAME,no dtr,
PARAMS_SUMMARY,no dtr min-max p(24.0),
DATA_SET_TYPE,NO_DTR,


Individual Results,

Data Id,Data Label,,tau,emp p,emp p BH Corrected,Pattern Shape,Pattern Period,Pattern Peak,P. Trough,P. Circ. Peak,P. Circ. Trough,P. Width,P. Asym,,JTK p from tau,JTK p BH Corrected,bf corrected JTK p,BH bf corrected p,
1,A1IGU4_S15___1,,0.4099457958749617,0.18751812481875182,0.6348928271016915,ACOS,24.0,14.0,4.0,14.0,4.0,24.0,0.42,,0.013386385243419103,0.045323191985209246,1.04413804898669,1.0,
2,A2A5R2_S227___1,,0.37267799624996517,0.25001749982500177,0.6769836281098036,ACOS,24.0,16.0,16.0,16.0,16.0,24.0,0.0,,0.02203270318362918,0.059658941269150806,1.718550848323076,1.0,
3,A2A5R2_S1535___1,,0.503115294937453,0.06251937480625194,0.41125010787314165,ACOS,24.0,14.0,4.0,14.0,4.0,24.0,0.42,,0.0032820864904672107,0.021589442111929844,0.2560027462564424,1.0,
4,A2A5R2_S1518___1,,0.5590169943749478,0.023459765402345976,0.2402158502686818,COS,24.0,8.0,20.0,8.0,20.0,24.0,0.5,,0.0012630300532244254,0.012932773748874051,0.09851634415150518,1.0,
5,A2A5R2_S1521___1,,0.3354101966249687,0.34376656233437664,0.7486128798018015,COS,24.0,8.0,20.0,8.0,20.0,24.0,0.5,,0.03498372787327912,0.0772155667883189,2.7287307741157716,1.0,
6,A2A5R2_S356___1,,0.5590169943749478,0.023459765402345976,0.2402158502686818,COS,24.0,20.0,8.0,20.0,8.0,24.0,0.5,,0.0012630300532244254,0.012932773748874051,0.09851634415150518,1.0,
7,A2A6A1_S648___1,,0.3167762968124704,0.37501624983750165,0.7486128798018015,ACOS,24.0,14.0,4.0,14.0,4.0,24.0,0.42,,0.04349923101882863,0.08683379617891092,3.392940019468633,1.0,
8,A2A6A1_S735___1,,0.18633899812498259,0.8125118748812512,0.9681887024459009,ACOS,24.0,14.0,4.0,14.0,4.0,24.0,0.42,,0.15703129585716225,0.19050882672241617,12.248441076858654,1.0,
9,A2A7S8_S382___1,,0.48448139512495475,0.07814921850781492,0.4439212340372108,COS,24.0,8.0,20.0,8.0,20.0,24.0,0.5,,0.004428713520216645,0.025157001037639973,0.3454396545768983,1.0,
10,A2A7S8_S434___1,,0.5217491947499513,0.04689953100468995,0.3562787901532749,ACOS,24.0,14.0,10.0,14.0,10.0,24.0,0.17,,0.0024097615294134673,0.01830608758478802,0.18796139929425046,1.0,
