1	16	3	13	2	15	4	10	5	14	6	9	7	12	8	11	Taxonomy IDs	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	Intensity	MS/MS count	Protein IDs	Majority protein IDs	Protein names	Gene names	id	Fasta headers
#!{Type}E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	C	N	N	N	N	N	N	N	N	N	N	N	T	T	T	T	T	T
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1	5	5	5	9.8	9.8	9.8	87.456	0	85.432	0	0	A0A087WPF7-3;A0A087WPF7	A0A087WPF7-3;A0A087WPF7		Auts2	0	sp|A0A087WPF7-3|AUTS2_MOUSE Isoform 3 of Autism susceptibility gene 2 protein homolog OS=Mus musculus OX=10090 GN=Auts2;sp|A0A087WPF7|AUTS2_MOUSE Autism susceptibility gene 2 protein homolog OS=Mus musculus OX=10090 GN=Auts2 PE=1 SV=2
15915	9300.2001953125	26527	9181.099609375	19525	10343	17444	17591	11969	12445	19336	18660	16100	18314	11952	21086	-1	4	4	4	7.3	7.3	7.3	82.574	0	100.45	18252000	1	A1A5B6	A1A5B6	TBC1 domain family member 25	Tbc1d25	2	sp|A1A5B6|TBC25_MOUSE TBC1 domain family member 25 OS=Mus musculus OX=10090 GN=Tbc1d25 PE=1 SV=1
NaN	4580.5	3269.10009765625	86.6790008544922	2112.89990234375	4367	3477.39990234375	3088.10009765625	317.25	5005.7001953125	3445.69995117188	NaN	3913.89990234375	4335.7001953125	2962	4097.2998046875	-1	4	4	4	5.2	5.2	5.2	104.16	0	17.483	12799000	1	A1L3T7	A1L3T7	Protein FAM65C	Fam65c	4	sp|A1L3T7|RIPR3_MOUSE RIPOR family member 3 OS=Mus musculus OX=10090 GN=Ripor3 PE=1 SV=1
8565.2998046875	21989	9158.099609375	23899	12953	18166	17338	43309	8234.2998046875	45898	50478	28485	13405	33517	14156	29185	-1	1	1	1	1.5	1.5	1.5	134.16	0.0063088	1.3618	44130000	2	A1Z198	A1Z198		Nlrp1b	5	sp|A1Z198|NL1B2_MOUSE NACHT, LRR and PYD domains-containing protein 1b allele 2 OS=Mus musculus OX=10090 GN=Nlrp1b PE=2 SV=1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1	3	3	3	4.1	4.1	4.1	111.06	0	14.599	0	0	A2A3V1	A2A3V1	A-kinase anchor protein 17B	Akap17b	6	sp|A2A3V1|AK17B_MOUSE A-kinase anchor protein 17B OS=Mus musculus OX=10090 GN=Akap17b PE=1 SV=2
2527800	2919900	2967600	1946200	3228700	2015000	4523000	2924800	1858300	2761700	2926300	2575000	3303000	4239600	2842000	2890000	-1	30	30	23	31.1	31.1	26.1	110.7	0	323.31	5290600000	25	A2A432;A2A432-2	A2A432;A2A432-2	Cullin-4B	Cul4b	7	sp|A2A432|CUL4B_MOUSE Cullin-4B OS=Mus musculus OX=10090 GN=Cul4b PE=1 SV=1;sp|A2A432-2|CUL4B_MOUSE Isoform 2 of Cullin-4B OS=Mus musculus OX=10090 GN=Cul4b
145470	127960	168370	143810	203310	131300	226800	265650	105200	241570	241470	175970	161840	217790	133900	197200	-1	8	7	7	8.6	7.9	7.9	142.57	0	76.889	286060000	11	A2A4P0	A2A4P0	ATP-dependent RNA helicase DHX8	Dhx8	8	sp|A2A4P0|DHX8_MOUSE ATP-dependent RNA helicase DHX8 OS=Mus musculus OX=10090 GN=Dhx8 PE=2 SV=1
1209700	624730	849060	936490	761970	717100	665640	772990	897340	695460	723500	1199700	1009100	737770	480450	832240	-1	32	32	27	21.9	21.9	19.1	202.24	0	323.31	1889600000	24	A2A5R2	A2A5R2	Brefeldin A-inhibited guanine nucleotide-exchange protein 2	Arfgef2	9	sp|A2A5R2|BIG2_MOUSE Brefeldin A-inhibited guanine nucleotide-exchange protein 2 OS=Mus musculus OX=10090 GN=Arfgef2 PE=1 SV=1
49845	41873	41430	42317	41039	40031	46421	42476	39953	53547	53789	54156	48627	51379	39047	45632	-1	6	6	5	7.6	7.6	6.5	84.568	0	4.0812	104720000	6	A2A5Z6-2;A2A5Z6	A2A5Z6-2;A2A5Z6	E3 ubiquitin-protein ligase SMURF2	Smurf2	10	sp|A2A5Z6-2|SMUF2_MOUSE Isoform 2 of E3 ubiquitin-protein ligase SMURF2 OS=Mus musculus OX=10090 GN=Smurf2;sp|A2A5Z6|SMUF2_MOUSE E3 ubiquitin-protein ligase SMURF2 OS=Mus musculus OX=10090 GN=Smurf2 PE=1 SV=1
67675	15281	38885	24848	55256	21246	21449	62543	29803	27012	35304	74425	29116	31625	14765	38562	-1	16	16	15	9.3	9.3	9	220.26	0	323.31	41237000	3	A2A690;A2A690-2	A2A690;A2A690-2	Protein TANC2	Tanc2	11	sp|A2A690|TANC2_MOUSE Protein TANC2 OS=Mus musculus OX=10090 GN=Tanc2 PE=1 SV=1;sp|A2A690-2|TANC2_MOUSE Isoform 2 of Protein TANC2 OS=Mus musculus OX=10090 GN=Tanc2
91669	110500	138770	99862	98929	104510	132870	95185	97109	92229	112630	97448	186940	135520	98094	145140	-1	10	10	10	23.5	23.5	23.5	67.806	0	323.31	214880000	4	A2A699-2;A2A699	A2A699-2;A2A699	Protein FAM171A2	Fam171a2	12	sp|A2A699-2|F1712_MOUSE Isoform 2 of Protein FAM171A2 OS=Mus musculus OX=10090 GN=Fam171a2;sp|A2A699|F1712_MOUSE Protein FAM171A2 OS=Mus musculus OX=10090 GN=Fam171a2 PE=1 SV=1
225910	219790	274640	210100	288260	191460	323330	277080	211040	339480	353830	239450	329600	289520	209960	269980	-1	33	33	33	21.5	21.5	21.5	164.99	0	323.31	637460000	13	A2A6A1	A2A6A1	G patch domain-containing protein 8	Gpatch8	13	sp|A2A6A1|GPTC8_MOUSE G patch domain-containing protein 8 OS=Mus musculus OX=10090 GN=Gpatch8 PE=1 SV=1
460160	196180	333640	222980	387970	166630	449850	426540	210360	379560	403350	443050	275610	394580	212850	329890	-1	8	8	8	12.1	12.1	12.1	91.841	0	46.545	559520000	9	A2A6Q5;A2A6Q5-2;A2A6Q5-3	A2A6Q5;A2A6Q5-2;A2A6Q5-3	Cell division cycle protein 27 homolog	Cdc27	14	sp|A2A6Q5|CDC27_MOUSE Cell division cycle protein 27 homolog OS=Mus musculus OX=10090 GN=Cdc27 PE=1 SV=1;sp|A2A6Q5-2|CDC27_MOUSE Isoform 2 of Cell division cycle protein 27 homolog OS=Mus musculus OX=10090 GN=Cdc27;sp|A2A6Q5-3|CDC27_MOUSE Isoform 3 of Cell
378000	82732	194240	234290	291280	83716	208060	299660	237550	164470	202510	389630	135870	157710	80302	188340	-1	18	18	18	40.9	40.9	40.9	53.212	0	278.45	894600000	9	A2A6T1	A2A6T1	Cerebellar degeneration-related protein 2-like	Cdr2l	15	sp|A2A6T1|CDR2L_MOUSE Cerebellar degeneration-related protein 2-like OS=Mus musculus OX=10090 GN=Cdr2l PE=1 SV=1
56264	48578	76708	57701	88585	53672	75325	114020	43387	112100	110690	70123	79904	70601	40496	95802	-1	14	14	14	11.8	11.8	11.8	162.84	0	323.31	218500000	7	A2A791-2;A2A791	A2A791-2;A2A791	Zinc finger MYM-type protein 4	Zmym4	16	sp|A2A791-2|ZMYM4_MOUSE Isoform 2 of Zinc finger MYM-type protein 4 OS=Mus musculus OX=10090 GN=Zmym4;sp|A2A791|ZMYM4_MOUSE Zinc finger MYM-type protein 4 OS=Mus musculus OX=10090 GN=Zmym4 PE=1 SV=1
112340	82263	85612	106530	157730	63788	109110	171740	104610	194000	188770	140470	101980	113810	68039	89648	-1	21	21	21	20.2	20.2	20.2	110.65	0	323.31	52564000	3	A2A7S8-2;A2A7S8-3;A2A7S8;A2A7S8-4	A2A7S8-2;A2A7S8-3;A2A7S8;A2A7S8-4	Uncharacterized protein KIAA1522	Kiaa1522	17	sp|A2A7S8-2|K1522_MOUSE Isoform 2 of Uncharacterized protein KIAA1522 OS=Mus musculus OX=10090 GN=Kiaa1522;sp|A2A7S8-3|K1522_MOUSE Isoform 3 of Uncharacterized protein KIAA1522 OS=Mus musculus OX=10090 GN=Kiaa1522;sp|A2A7S8|K1522_MOUSE Uncharacterized prot
65133	49431	75664	44271	77778	44727	67148	76207	37868	66993	67636	68742	66606	59907	41861	58676	-1	5	5	5	3	3	3	194.75	0	8.2612	128750000	3	A2A863-2;A2A863-3;A2A863	A2A863-2;A2A863-3;A2A863	Integrin beta-4	Itgb4	19	sp|A2A863-2|ITB4_MOUSE Isoform 2 of Integrin beta-4 OS=Mus musculus OX=10090 GN=Itgb4;sp|A2A863-3|ITB4_MOUSE Isoform 3 of Integrin beta-4 OS=Mus musculus OX=10090 GN=Itgb4;sp|A2A863|ITB4_MOUSE Integrin beta-4 OS=Mus musculus OX=10090 GN=Itgb4 PE=1 SV=1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1	2	2	2	2.1	2.1	2.1	130.14	0	4.6085	0	0	A2A870	A2A870	Fas-binding factor 1	Fbf1	20	sp|A2A870|FBF1_MOUSE Fas-binding factor 1 OS=Mus musculus OX=10090 GN=Fbf1 PE=1 SV=1
2735	7146.60009765625	35049	5564.2001953125	9071.7998046875	45122	7317.2001953125	9977.2998046875	5197.10009765625	14882	13421	2903	51469	5259.10009765625	5735.60009765625	36256	-1	18	18	18	10.3	10.3	10.3	253.41	0	323.31	7470200	1	A2A884	A2A884	Transcription factor HIVEP3	Hivep3	21	sp|A2A884|ZEP3_MOUSE Transcription factor HIVEP3 OS=Mus musculus OX=10090 GN=Hivep3 PE=1 SV=1
146760	148780	173940	184060	303780	115900	266550	354550	139520	337840	424410	221890	184130	276120	146100	176820	-1	12	2	2	7.3	1.2	1.2	222.51	0	8.6152	292640000	4	A2A8L1	A2A8L1	Chromodomain-helicase-DNA-binding protein 5	Chd5	22	sp|A2A8L1|CHD5_MOUSE Chromodomain-helicase-DNA-binding protein 5 OS=Mus musculus OX=10090 GN=Chd5 PE=1 SV=1
281470	411840	679050	269360	2070900	455980	619210	2018300	230940	1073700	1029900	323560	641220	806430	340550	797560	-1	26	26	18	16.8	16.8	12.6	211.49	0	92.917	1553700000	30	A2A8L5	A2A8L5	Receptor-type tyrosine-protein phosphatase F	Ptprf	23	sp|A2A8L5|PTPRF_MOUSE Receptor-type tyrosine-protein phosphatase F OS=Mus musculus OX=10090 GN=Ptprf PE=1 SV=1
115040	157120	153800	218670	206340	182870	157480	262610	137580	428940	458790	153280	224490	168670	139400	194480	-1	6	6	6	9.8	9.8	9.8	72.499	0	22.392	392420000	4	A2A8U2;A2A8U2-3;A2A8U2-2	A2A8U2;A2A8U2-3;A2A8U2-2	Transmembrane protein 201	Tmem201	24	sp|A2A8U2|TM201_MOUSE Transmembrane protein 201 OS=Mus musculus OX=10090 GN=Tmem201 PE=1 SV=1;sp|A2A8U2-3|TM201_MOUSE Isoform 3 of Transmembrane protein 201 OS=Mus musculus OX=10090 GN=Tmem201;sp|A2A8U2-2|TM201_MOUSE Isoform 2 of Transmembrane protein 201
958400	576350	815330	680410	922860	646650	679200	917630	690860	929370	1021600	927760	947080	640930	522700	743200	-1	14	14	13	19	19	18.1	83.108	0	47.449	2179800000	18	A2A8Z1;A2A8Z1-2	A2A8Z1;A2A8Z1-2	Oxysterol-binding protein-related protein 9	Osbpl9	25	sp|A2A8Z1|OSBL9_MOUSE Oxysterol-binding protein-related protein 9 OS=Mus musculus OX=10090 GN=Osbpl9 PE=1 SV=1;sp|A2A8Z1-2|OSBL9_MOUSE Isoform 2 of Oxysterol-binding protein-related protein 9 OS=Mus musculus OX=10090 GN=Osbpl9
8408.2001953125	21492	43573	6424.5	11998	28992	42108	10171	6096.7998046875	11961	13950	6473.2001953125	42303	35234	25478	40147	-1	3	3	3	13.4	13.4	13.4	52.926	0	42.724	18065000	1	A2A9A2	A2A9A2	Doublesex- and mab-3-related transcription factor A2	Dmrta2	26	sp|A2A9A2|DMTA2_MOUSE Doublesex- and mab-3-related transcription factor A2 OS=Mus musculus OX=10090 GN=Dmrta2 PE=2 SV=1
43618	41238	47515	53322	46885	42642	42118	42693	44987	62907	63985	47714	65277	43197	40326	49092	-1	12	12	12	6.4	6.4	6.4	377.62	0	261.16	195060000	7	A2A9C3;A2A9C3-2	A2A9C3;A2A9C3-2	Protein SZT2	Szt2	27	sp|A2A9C3|SZT2_MOUSE KICSTOR complex protein SZT2 OS=Mus musculus OX=10090 GN=Szt2 PE=1 SV=1;sp|A2A9C3-2|SZT2_MOUSE Isoform 2 of KICSTOR complex protein SZT2 OS=Mus musculus OX=10090 GN=Szt2
54619	53889	75074	58769	91602	65042	70027	113430	37161	110220	111250	67588	77681	80507	43553	87341	-1	24	24	24	5.2	5.2	5.2	551.83	0	323.31	284850000	11	A2AAE1-6;A2AAE1;A2AAE1-2;A2AAE1-3;A2AAE1-4;A2AAE1-5	A2AAE1-6;A2AAE1;A2AAE1-2;A2AAE1-3;A2AAE1-4	Uncharacterized protein KIAA1109	Kiaa1109	29	sp|A2AAE1-6|K1109_MOUSE Isoform 6 of Transmembrane protein KIAA1109 OS=Mus musculus OX=10090 GN=Kiaa1109;sp|A2AAE1|K1109_MOUSE Transmembrane protein KIAA1109 OS=Mus musculus OX=10090 GN=Kiaa1109 PE=1 SV=4;sp|A2AAE1-2|K1109_MOUSE Isoform 2 of Transmembrane
1162100	243260	729640	909420	794050	517740	321570	1041300	620070	887380	979350	1891900	657180	373890	228070	933880	-1	19	18	18	23.6	22.5	22.5	101.52	0	157.28	948730000	17	A2AAY5	A2AAY5	SH3 and PX domain-containing protein 2B	Sh3pxd2b	31	sp|A2AAY5|SPD2B_MOUSE SH3 and PX domain-containing protein 2B OS=Mus musculus OX=10090 GN=Sh3pxd2b PE=1 SV=1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1	3	3	3	3.9	3.9	3.9	75.801	0	4.0477	0	0	A2AB59-2;A2AB59	A2AB59-2;A2AB59	Rho GTPase-activating protein 27	Arhgap27	32	sp|A2AB59-2|RHG27_MOUSE Isoform 2 of Rho GTPase-activating protein 27 OS=Mus musculus OX=10090 GN=Arhgap27;sp|A2AB59|RHG27_MOUSE Rho GTPase-activating protein 27 OS=Mus musculus OX=10090 GN=Arhgap27 PE=1 SV=1
266310	200290	303480	212560	397290	218100	292140	394090	210690	358660	397600	281860	292150	298860	180080	320100	-1	10	10	10	10.8	10.8	10.8	160.96	0	156.94	288260000	9	A2ABV5;A2ABV5-2	A2ABV5	Mediator of RNA polymerase II transcription subunit 14	Med14	33	sp|A2ABV5|MED14_MOUSE Mediator of RNA polymerase II transcription subunit 14 OS=Mus musculus OX=10090 GN=Med14 PE=1 SV=1
57801	33212	65316	47823	60818	43275	48422	59909	50412	85322	81039	58904	76724	39988	35988	55674	-1	2	2	2	3.1	3.1	3.1	94.28	0	4.7187	43027000	2	A2ACJ2	A2ACJ2	Fanconi anemia-associated protein of 100 kDa	Faap100	34	sp|A2ACJ2|FP100_MOUSE Fanconi anemia core complex-associated protein 100 OS=Mus musculus OX=10090 GN=Faap100 PE=2 SV=1
90686	144270	166810	105840	156760	155440	178870	157460	99953	203210	214780	88210	227760	145790	136060	171150	-1	7	7	7	27.8	27.8	27.8	31.992	0	16.848	263040000	7	A2ADA5;A2ADA5-2;A2ADA5-3	A2ADA5;A2ADA5-2	tRNA pseudouridine synthase-like 1	Pusl1	35	sp|A2ADA5|PUSL1_MOUSE tRNA pseudouridine synthase-like 1 OS=Mus musculus OX=10090 GN=Pusl1 PE=1 SV=1;sp|A2ADA5-2|PUSL1_MOUSE Isoform 2 of tRNA pseudouridine synthase-like 1 OS=Mus musculus OX=10090 GN=Pusl1
654730	377550	737710	520870	610650	571590	530850	635990	488370	626560	759910	616690	877900	497270	407160	668120	-1	11	11	11	34.8	34.8	34.8	44.59	0	33.17	1970100000	13	A2ADY9;Q9DAF3	A2ADY9	Protein DDI1 homolog 2	Ddi2	36	sp|A2ADY9|DDI2_MOUSE Protein DDI1 homolog 2 OS=Mus musculus OX=10090 GN=Ddi2 PE=1 SV=1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1	3	3	3	4.1	4.1	4.1	67.407	0	6.2576	0	0	A2AEV7	A2AEV7		Ccdc120	38	sp|A2AEV7|CC120_MOUSE Coiled-coil domain-containing protein 120 OS=Mus musculus OX=10090 GN=Ccdc120 PE=1 SV=1
