Pooled_1	U1_V3_1	U1_V3_2	U1_V9_1	U1_V9_2	U1_V15_1	U1_V15_2	U1_V21_1	U1_V21_2	U1_I3_1	U1_I3_2	U1_I9_1	U1_I9_2	U1_I15_1	U1_I15_2	U1_I21_1	U1_I21_2	Pooled_2	U2_V3_1	U2_V3_2	U2_V9_1	U2_V9_2	U2_V15_1	U2_V15_2	U2_V21_1	U2_V21_2	U2_I3_1	U2_I3_2	U2_I9_1	U2_I9_2	U2_I15_1	U2_I15_2	U2_I21_1	U2_I21_2	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	MS/MS count	Protein IDs	Majority protein IDs	Protein names	Gene names	id	Fasta headers
#!{Type}E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	N	N	N	N	N	N	N	N	N	N	T	T	T	T	T	T
106730	112020	90902	151030	96707	116120	90409	83206	79824	166230	114770	127120	147350	124070	124070	108140	126440	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	4.8	4.8	4.8	28.398	0	15.836	3	A0A0B4J1G0	A0A0B4J1G0		Fcgr4	0	sp|A0A0B4J1G0|FCGR4_MOUSE Low affinity immunoglobulin gamma Fc region receptor IV OS=Mus musculus OX=10090 GN=Fcgr4 PE=1 SV=1
2234500	2703300	1834500	3022000	2484200	2790600	1592100	1798400	1747300	2701700	1733500	2004700	2818300	2574100	2777700	1776700	2151100	1771800	2151500	1741600	1769900	1998400	3247200	2446500	2118000	1452600	1353200	1851900	1894300	2390900	2130000	2275000	1594400	2056600	17	17	17	37.2	37.2	37.2	60.594	0	323.31	59	A0JNU3	A0JNU3	60 kDa lysophospholipase;L-asparaginase;Platelet-activating factor acetylhydrolase	Aspg	1	sp|A0JNU3|LPP60_MOUSE 60 kDa lysophospholipase OS=Mus musculus OX=10090 GN=Aspg PE=1 SV=1
21746	26305	22387	20224	21801	23618	7302.2001953125	18162	14925	20461	10759	22199	33901	15649	21696	15616	27807	1448.59997558594	1376.90002441406	1288.19995117188	1313.30004882813	985.330017089844	1531	980.960021972656	1903.5	618.460021972656	1019.90002441406	1282.90002441406	1038.40002441406	1385	1307.59997558594	2219	1030.30004882813	1626.5	4	4	4	7.5	7.5	7.5	82.574	0	13.877	3	A1A5B6	A1A5B6	TBC1 domain family member 25	Tbc1d25	2	sp|A1A5B6|TBC25_MOUSE TBC1 domain family member 25 OS=Mus musculus OX=10090 GN=Tbc1d25 PE=1 SV=1
66626	87944	44961	95979	77058	71607	61185	56145	54485	68878	61344	61322	62817	64646	97311	57313	75726	11809	14195	13783	12096	12135	16531	10415	13712	12743	7542.2001953125	12403	9482.400390625	11784	9973.900390625	12097	10302	13666	3	3	3	6.2	6.2	6.2	76.523	0	323.31	3	A1IGU4;A1IGU4-2	A1IGU4	Rho guanine nucleotide exchange factor 37	Arhgef37	3	sp|A1IGU4|ARH37_MOUSE Rho guanine nucleotide exchange factor 37 OS=Mus musculus OX=10090 GN=Arhgef37 PE=2 SV=1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	76459	102700	76735	74992	127950	108500	63132	99247	85282	79737	108480	105510	89164	68043	108110	65520	108510	3	3	3	6.3	6.3	6.3	78.39	0	6.3813	4	A1L314	A1L314	Macrophage-expressed gene 1 protein	Mpeg1	4	sp|A1L314|MPEG1_MOUSE Macrophage-expressed gene 1 protein OS=Mus musculus OX=10090 GN=Mpeg1 PE=1 SV=1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	1.4	1.4	1.4	104.16	0.0054446	1.5277	0	A1L3T7	A1L3T7	Protein FAM65C	Fam65c	6	sp|A1L3T7|RIPR3_MOUSE RIPOR family member 3 OS=Mus musculus OX=10090 GN=Ripor3 PE=1 SV=1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	2.3	2.3	2.3	111.06	0	68.766	0	A2A3V1	A2A3V1	A-kinase anchor protein 17B	Akap17b	7	sp|A2A3V1|AK17B_MOUSE A-kinase anchor protein 17B OS=Mus musculus OX=10090 GN=Akap17b PE=1 SV=2
432180	543380	380700	665100	520210	617010	319720	393270	390510	630190	502390	484210	614620	517440	643020	440590	563020	149150	161780	157840	169310	182950	210730	201310	168460	122350	101290	156590	142950	187670	178700	184790	141710	181430	18	13	13	27.3	21.8	21.8	110.7	0	323.31	19	A2A432;A2A432-2	A2A432;A2A432-2	Cullin-4B	Cul4b	8	sp|A2A432|CUL4B_MOUSE Cullin-4B OS=Mus musculus OX=10090 GN=Cul4b PE=1 SV=1;sp|A2A432-2|CUL4B_MOUSE Isoform 2 of Cullin-4B OS=Mus musculus OX=10090 GN=Cul4b
38739	32827	22238	31715	38416	42147	25233	23314	25160	37365	36670	37623	44435	43856	26053	37113	31644	53189	58996	56861	61371	59298	67788	58981	59382	46524	46491	55792	52191	53350	61435	73568	54283	66098	5	5	5	6.3	6.3	6.3	142.57	0	52.824	4	A2A4P0	A2A4P0	ATP-dependent RNA helicase DHX8	Dhx8	9	sp|A2A4P0|DHX8_MOUSE ATP-dependent RNA helicase DHX8 OS=Mus musculus OX=10090 GN=Dhx8 PE=2 SV=1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	42785	57836	53854	52924	102000	84797	54183	112790	102980	62261	47973	51311	55640	43027	90774	29813	70857	2	2	2	2.5	2.5	2.5	145.6	0	58.008	1	A2A5K6	A2A5K6	Zinc finger protein 335	Znf335	10	sp|A2A5K6|ZN335_MOUSE Zinc finger protein 335 OS=Mus musculus OX=10090 GN=Znf335 PE=1 SV=1
1921000	2254300	1464000	2469200	2156400	2338300	1387800	1632800	1672900	2289200	1660200	1808000	2339400	1955700	2414700	1787400	2095600	1005100	1165100	934990	1080600	1136200	1588600	1344900	1271000	951040	748860	1057200	1041400	1008100	1002600	1122000	831580	1192300	34	34	26	23.7	23.7	18	202.24	0	323.31	54	A2A5R2	A2A5R2	Brefeldin A-inhibited guanine nucleotide-exchange protein 2	Arfgef2	11	sp|A2A5R2|BIG2_MOUSE Brefeldin A-inhibited guanine nucleotide-exchange protein 2 OS=Mus musculus OX=10090 GN=Arfgef2 PE=1 SV=1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4	4	4	3	3	3	220.26	0	47.463	0	A2A690;A2A690-2	A2A690;A2A690-2	Protein TANC2	Tanc2	12	sp|A2A690|TANC2_MOUSE Protein TANC2 OS=Mus musculus OX=10090 GN=Tanc2 PE=1 SV=1;sp|A2A690-2|TANC2_MOUSE Isoform 2 of Protein TANC2 OS=Mus musculus OX=10090 GN=Tanc2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	3	3	5.6	5.6	5.6	87.486	0	134.02	0	A2A699;A2A699-2	A2A699;A2A699-2	Protein FAM171A2	Fam171a2	13	sp|A2A699|F1712_MOUSE Protein FAM171A2 OS=Mus musculus OX=10090 GN=Fam171a2 PE=1 SV=1;sp|A2A699-2|F1712_MOUSE Isoform 2 of Protein FAM171A2 OS=Mus musculus OX=10090 GN=Fam171a2
34681	41498	28531	38144	33918	37453	15289	23977	27111	39947	17493	30622	38615	29083	50143	25191	33988	11862	13985	11251	14670	13522	14496	13564	13713	13348	8846.900390625	11189	10334	10794	13221	13096	8610.2001953125	13015	12	12	12	9	9	9	164.99	0	323.31	7	A2A6A1	A2A6A1	G patch domain-containing protein 8	Gpatch8	14	sp|A2A6A1|GPTC8_MOUSE G patch domain-containing protein 8 OS=Mus musculus OX=10090 GN=Gpatch8 PE=1 SV=1
